song_id,title,作詞,作曲,編曲,full_lyrics,song_url
341103,愛のひきこもり,秋元康,山口寛雄,h-wonder,"枯葉が何枚　落ちたなら
季節は変わったと言うのか？
いつもの歩道を歩いてる
僕には周りが見えてない
例えば　あの娘(こ)を好きになっても
想いは本当に届くのか？
自分に問いかけ答えてる
心は言葉で満ちている

もっと　自信を
持たなくちゃ　だめだよね
何(なん)に対しても　消極的な
僕だったよ

それが悪いと思わない　今日までの日々よ
反省じゃなくて成長だ
空を見上げれば　新しい陽射しに気づくよ
風に吹かれながら　恋だってすればいい

どこかで電車が走ってる
いつもは気づいていなかった
自分でびっくりするくらい
ぼんやり生きてた僕だった
心のバリアを張ってたんだ
他人(ひと)に土足で踏み込まれる
せっかく手に入れた宝物
壊されてしまう不安感

だから　いつしか
僕だけの線を引き
誰も受け入れぬ安全地帯
作ったんだ

外に出ようと思ったよ　君と出会って
同(おんな)じ空気を吸いたくなった
一緒に歩いてるだけでも　暖かく感じて
世界はいつだって　僕を受け入れてくれる

立ち止まってては　そう変わらない
同じ景色

それが悪いと思わない　今日までの日々よ
反省じゃなくて成長だ
空を見上げれば　新しい陽射しに気づくよ
風に吹かれながら　恋だってすればいい

愛のひきこもりよ",https://www.uta-net.com/song/341103/
336448,愛はこっちのものだ,秋元康,原田雄一,原田雄一,"Everybody ！ Da ！ Da ！ Da ！ Dance ！
Everybody ！ Be ！ Be ！ Be ！ Beat it ！

(Get your move on！)Come on now！
(Shake it, baby！)こっちへ来いよ(Oh oh)
(Take it easy！)楽しくやろう(Chill out)
(Time to party)

(Hey you)久しぶりじゃないか？
(Say what？)元気だったかい？
(Right on)こんな夜は朝まで踊ろうぜ

(I know...)言葉はいらない
(Oh yes)そう瞼閉じて
(Groovy)ただ揺れればいい Feeling the sparks fly

少しずつ(Yeah)　近づくだろう(Yeah)
俺たちの熱いHeart(Wow wow wow wow)
長い髪が触れるくらい
ほらおいでよ

(Everybody)
Everybody Da！ Da！ Da！ Danceで loving you (Hey)
流れる時間(Hey)汗ばむ二人(Love me)
Everybody Be！ Be！ Be！ Beat it！　よろしく(Hey)
愛はこっちのものだ

(Everybody)
No need love, no need trust, no nothing, my baby(Yo)
Why don't we, why don't we dance,
why don't we, my baby(Baby)
No need love, no need trust, no nothing, my baby(Yo)

(そばにいてよ)
Everybody！ Da！ Da！ Dance！
Pump up the music！

(I know, you know)We know...
(Keep on grooving)ずっとこのまま(Oh oh)
(Get your game on)Whatcha say？(YOLO！)
(愛を始めよう)

(Hi there！)あれから　どうしてた？
(How come？)気にしてたんだ
(Got it！)そう話は　いろいろとあるだろう

(No way！)こんなクラブで
(So So)ばったり会うなんて
(Shake it！)誰の仕業だ？ Oh, my Goddess！

今夜だけ(Yeah)　戻そうぜ(Yeah)
時計の針をあの頃に (Wow wow wow wow)
夏の星を思い出したら
キスをしないか？

(Everybody)
Anytime Good！ Good！ Good！ Good！ Good feeling(Hey)
もう一度夢を(Hey)見てるような(My baby)
Anytime Cool！ Cool！ Cool！ Cool！ Coolに行こう！(Hey)
Noと言ってもいいんだぜ

(Everybody)
Won't be loved, won't you stay, won't be long, my baby(Yo)
Why don't we, why don't we dance, why don't we, my baby(Baby)
Won't be loved, won't you stay, won't be long, my baby(Yo)

(そばにいてよ)
Everybody！ Da！ Da！ Dance！
Pump up the music！

その時に気づいたんだ
君に連れがいるってこと
まさか彼氏と来てたなんて
ごめんね　懐かしくなって
悪いことしちゃったな
踊るしかない

(Everybody)
Everybody Da！ Da！ Da！ Danceで loving you (Hey)
流れる時間(Hey)汗ばむ二人(Love me)
Everybody Be！ Be！ Be！ Beat it！　よろしく(Hey)
愛はこっちのものだ

(Everybody)
No need love, no need trust, no nothing, my baby(Yo)
Why don't we, why don't we dance, why don't we, my baby(Baby)
No need love, no need trust, no nothing, my baby(Yo)

(そばにいてよ)
Everybody！ Da！ Da！ Dance！
Pump up the music！

(I know, you know)We know...
(Keep on grooving)ずっとこのまま(Oh oh)
(Get your game on)Whatcha say？(YOLO！)
(愛を始めよう)",https://www.uta-net.com/song/336448/
309684,あくびLetter,秋元康,角野寿和,角野寿和,"マホガニーのテーブルで何度も書き直すLetter
今夜も私の味方はミルクティー
どれくらいあの人を想い続けているか？
夜空の月まで私のこと見てたでしょう

瞼を閉じて　唇噛んで探し続けた
霧がかかる胸の奥で探す出口

眠れない夜はいつだって　なぜ好きなのかと考える
あの笑顔　あの仕草　声や背中を…
もう何十回　何百回　同じことを想像して
そして　夜が明けてくまで
あくびしながら Love Letter

アンティークのカーテンの裾から溢れるSunrise
告白しようとしたのに時間切れ
もう別の誰かでは　きっと好きになれない
小鳥も近くで囀りながら頷いてる

まだ皺のない　ベッドの上で横たわって
薪ストーブの余熱だけでしあわせだよ

眠りたくなれば　知らぬ間に　願いの通りの夢を見る
並木道　腕組んで歩く週末
どこかのベンチ座りながら　その日まで隠した気持ちを
そっと伝える Love Letter

誰もが恋をする度に睡眠不足になるでしょう
何度　長いこの冬が過ぎればいいの？

眠れない夜はいつだって　なぜ好きなのかと考える
あの笑顔　あの仕草　声や背中を…
もう何十回　何百回　同じことを想像して
そして　夜が明けてくまで
あくびしながら Love Letter",https://www.uta-net.com/song/309684/
291307,アザトカワイイ,秋元康,浦島健太・NIYA・TETTA,TETTA,"釣られてしまいました (一目でYeah, Yeah, Yeah)
僕が勝手に恋をしてしまったんです
君のせいじゃない

Wow Yeah Yeah...
Wow Yeah Yeah...

また今日も君を見かけたよ (Wow Wow Wow Wow)
じゃなくて　僕が君を探しているのかなあ
女子高生が溢れている (Wow Wow Wow Wow)
ラッシュアワーなのにいつだって目に留まるんだ

カーディガンの (カーディガンの) 袖口を (袖口を)
少しだけ長めにして
両手でグーしてるのが
アザトカワイイ (ヘイ)

見事に釣られました (一気にYeah, Yeah, Yeah)
下唇噛む癖まで
なんだか全部キュンとする
小首をかしげたって (ノックアウトYeah, Yeah, Yeah)
見られているって　意識しているのかな (ヘイ)
もうハマりました

Wow Yeah Yeah...
Wow Yeah Yeah...

なぜだろう　いつも目を惹くんだ (Wow Wow Wow Wow)
この世に女の子いっぱいいるのにねえ
読モみたいなタイプじゃなく (Wow Wow Wow Wow)
どこにでもいるような　普通っぽさがいいんだ

目が合っても (目が合っても) キョトンとして (キョトンとして)
そうずっと　こっち見てる
君のその困り顔が
アザトカワイイ (ヘイ)

狙っているんですか？ (ホントはYeah, Yeah, Yeah)
無意識ではなくて計算？　心が読み取れないんです
悲しい顔されたら (ごめんねI Yeah、Yeah)
騙されてたって　もう全然　構わない (ヘイ)
僕は君が好き

どんな仕草も　どんな表情も
君の思惑に僕は振り回されてる

見事に釣られました (一気にYeah, Yeah, Yeah)
下唇噛む癖まで
なんだか全部キュンとする
小首をかしげたって (ノックアウトYeah, Yeah, Yeah)
見られているって　意識しているのかな(ヘイ)
もうハマりました

Wow Yeah Yeah...
Wow Yeah Yeah...

Wow Yeah Yeah...
Wow Yeah Yeah...

君が好きなんだ

Wow Yeah Yeah...
Wow Yeah Yeah...",https://www.uta-net.com/song/291307/
367249,足の小指を箪笥の角にぶつけた,秋元康,野村陽一郎,野村陽一郎,"Oh no！　やっちまった！　痛いよ！痛すぎる
Oh no！　最悪だ！　動けない！

そんなアクシデントくらい
そりゃあるだろうなんて
他人事(ひとごと)の言い方で
誰のせいでもない　僕が悪いんだ

ドアのチャイムが鳴って
走って出ようとしたら
なぜかそこにある　障害物　目に入らなかった

ソファーのクッション　壁に投げつけてみたけど
そんな八つ当たりしたって　解消できやしない
腹立たしい　不注意さ

足の小指を箪笥の角に
ぶつけて痛かった　泣いたよ
指が取れたって思ったほど
声も出せずに…

君に振られた時の事を
なぜか　思い出したんだ
心の中でどこかの骨が
折れたようなあの感じ

Oh no！　やっちまった！　涙が止まらないよ！
Oh no！　蹲(うずくま)って　このまま

床でのたうち回って
マジで　もがき苦しんで
息も出来ないまま
その痛みが癒えるのを待っていた

勇気を振り絞って
君に告白して
すぐにごめんねって振られた日が蘇って来るよ

あと何秒間　我慢すればいいんだろう？
頭の中が真っ白になってしまったよ
止まっちゃったあの時間

足の小指はいつもどこかに
ぶつけるものだよ　不思議だ
絶対　二度と　ぶつけないように
気をつけてても…

恋だって同じどうして懲りないの？
あんな傷ついて泣いたのに
いつの間にか忘れちゃって
誰かを好きになる

人間　わかってても　学習できない動物さ
何度も　小指と心　うっかりとぶつけちゃう

足の小指を箪笥の角に
ぶつけて痛かった　泣いたよ
指が取れたって思ったほど
声も出せずに…

君に振られた時の事を
なぜか　思い出したんだ
心の中でどこかの骨が
折れたようなあの感じ

足の小指はいつもどこかに
ぶつけるものだよ　不思議だ
絶対　二度と　ぶつけないように
気をつけてても…

誰かを好きになる

Oh no！　やっちまった！　痛いよ！痛すぎる
Oh no！　最悪だ！　動けない！

Oh no！　やっちまった！　涙が止まらないよ！
Oh no！　蹲(うずくま)って　このまま",https://www.uta-net.com/song/367249/
309682,アディショナルタイム,秋元康,RIRIKO・石原剛志,石原剛志・RIRIKO,"そんな言葉なんか口に出しちゃダメだって
誰だってわかってると思ってた　さっきまで
こういう時って
悪い方向　進むものね

いつもだったら喧嘩をしたとしても
ストレス解消したら　そこでおしまい
プレイみたいに
長めのキスして I LOVE YOU！

ひょっとして　こういう関係に
疲れてたとか飽きてたとか
まさか　好きな　彼女　できたとか
ここで　さよならなんて…

ちょっと待ってよ　それじゃあっさりし過ぎじゃない？
全然　後ろ髪を引かれないの？
少し　残ってるでしょ？　アディショナルタイム
言いたいことを言ってもいい？
Oh...
泣いたりなんかしないから(たぶんね)
Oh...
そりゃ私だってプライドくらいあるわ

ハートにヒビが入ってくみたいに
些細なことから始まった口論
あっという間に
音立て崩れてしまった

そんな根本的なこと　すれ違ってたなんて
二人　これ以上無理よ(元には戻れないわ)
勝手に叫んでるけど　売り言葉に買い言葉
本心なんかじゃない

だって今でも　あなたを愛してるんだもん
そんな聞き分けよく　頷けない
考え直しなさい　さあチャンスタイム
撤回したって　構わないわ
Oh...
絶対追いかけはしない(意地でも)
Oh...
だから今のうち　なかったことにしましょ

ごめんね　言い過ぎちゃったとか
別れるなんて冗談だよ
なんて　早く否定しなさい
Oh...

ちょっと待ってよ　それじゃあっさりし過ぎじゃない？
全然　後ろ髪を引かれないの？
少し　残ってるでしょ？　アディショナルタイム
言いたいことを言ってもいい？
Oh...
泣いたりなんかしないから(たぶんね)
Oh...
そりゃ私だってプライドくらいあるわ
Oh...
残された愛は　アディショナル(アディショナル)
Oh...
あと少しだけだよ　アディショナルタイムは…",https://www.uta-net.com/song/309682/
367328,あの娘にグイグイ,秋元康,野村陽一郎,野村陽一郎,"Da！ Da！！ Da！ Da！！

音楽室へ続く長い渡り廊下
バッタリと鉢合わせたら
今度こそ好きだと言ってやる
Da！ Da！！ Da！ Da！！

卒業までの小さな足音
残り少ないカレンダーが焦(あせ)らせる

青春はあっという間に
消えてしまうと聞いたから
輝いてる今を
思い出にしないために…

あの娘(こ)にグイグイ　恋は押すしかないだろう
ホントはドキドキ　情けないくらい
しゃべり過ぎてる
学校じゃ一番人気のマドンナと知ってても
気持ちはグイグイ　行くしかないんだ
誰もが無理無理　諦めろと言う

でも僕は絶対　引かない

体育館の前ですれ違ったけれど
何も言えずに下を向く
そういう自分にがっかりだ

Da！ Da！！ Da！ Da！！

大言壮語　でっかいこと言っても
気の弱い情けない男なのさ

性格は直せないけど
自然消滅してしまう
僕の片想いを
このままにはできないよ

無理してグイグイ　恋を諦められなくて…
心はイジイジ乱れるように
躊躇(ためら)っている
そう多分　彼氏くらいいるってわかってても
頑張ってグイグイ　向き合ってみるよ

あの娘(こ)にグイグイ　恋は押すしかないだろう
ホントはドキドキ　情けないくらい
しゃべり過ぎてる
学校じゃ一番人気のマドンナと知ってても
気持ちはグイグイ　行くしかないんだ

あの娘にグイグイ　恋は引いたら負け

そうだから僕は諦めない
口だけの僕は嘘つきか？
いつの日か好きと言ってやるぜ！",https://www.uta-net.com/song/367328/
373367,あのね そのね,秋元康,野村陽一郎,野村陽一郎,"I wanna talk to you...

あ・の・ね
ルン・ルン・ルン　こんなどうでもいい
ルン・ルン・ルン　話　聞いて欲しい
ルン・ルン・ルン　ルン・ルン・ルン
私を好きなら
そ・の・ね
ルン・ルン・ルン　太陽　沈んだって
ルン・ルン・ルン　時間　まだあるでしょ？
ルン・ルン・ルン　ルン・ルン・ルン
星が光るまで

公園のジャングルジム
よじ登る私のこと
あなたは心配そうに眺めてる

過ぎる時間のスピード
微妙に変わって行くんだね
どうでもいいことなのに
とっても　大切に
思えて来るのは
特別な関係なのかも…

見つめなくたって　聞こえればいい
胸の奥の本当の声が
ずっと話し続けて
このハートを満たしてよ
一晩中　語り合って
沈黙だって意味があるような
小さなその動機
ただ言い訳してるだけ

ルン・ルン・ルン　もっと構って欲しい
ルン・ルン・ルン　肩にもたれたい
ルン・ルン・ルン　ルン・ルン・ルン
そばにいたいのよ

お転婆だって呆れてる
あなたはシーソーの上
じっと　私のこと見上げてる

わざと無視していたけど
そういう間柄(あいだがら)もいいかも
高い場所から飛び降り
足が痛そうに
蹲(うずくま)って　見せて
あなたを心配させよう

何でもいいから　時間を稼ぎ
もう少しだけ　一緒にいたい
ホントは話なんか
どうだってよかったのよ
そう素直になれないから
あれこれ画策をしながら
星座が並ぶまで
恋心を待たせてる

ラン・ラン・ラン　タイミングが難しい
ラン・ラン・ラン　“ついで”なふりして
ラン・ラン・ラン　ラン・ラン・ラン
言って欲しいの
ちゃ・ん・と
ラン・ラン・ラン　あなたの方から
ラン・ラン・ラン　好きだと打ち明けて
ラン・ラン・ラン　ラン・ラン・ラン
愛を試したい

ルン・ルン・ルン　こんなどうでもいい
ルン・ルン・ルン　話　聞いて欲しい
ルン・ルン・ルン　ルン・ルン・ルン
私を好きなら
そ・の・ね
ルン・ルン・ルン　太陽　沈んだって
ルン・ルン・ルン　時間　まだあるでしょ？
ルン・ルン・ルン　ルン・ルン・ルン
星が光るまで",https://www.uta-net.com/song/373367/
341109,Am I ready?,秋元康,大河原昇,APAZZI,"Fu Fu Fu Fu Fu　準備OK？　聞きたくなる
Fu Fu Fu Fu Fu　瞼(まぶた)閉じて　キスのタイミング
想ってるだけじゃ
恋の導火線　点火しないわ

ずっと　そばにいたのに
今まで気づかなかった
無意識の片隅
何かが芽生えていた

久しぶりのときめき
男の子に縁がなかったし
諦めてたけれど
人はみんな　一番そばの
大事な誰かを忘れているのね

Fu Fu Fu Fu Fu　準備OK？　今がチャンス
Fu Fu Fu Fu Fu　抱きしめてよ　恋の手前
何度も呟(つぶや)く
勇気がなくて　宙ぶらりん　ねえ…

何で　黙っていたの？
あなたも感じたでしょう？
やさしくしないで
互いに惹かれてたのに…

そう恋愛経験
もっとあれば　予測できたし
悩まずにいられた
今からでも　遅くはないわ
一気にステップ駆け上がればいい

Fu Fu Fu Fu Fu　Yesでいいの？　それが答え？
Fu Fu Fu Fu Fu　照れてないで声に出そう
素直になりたい
自信を持って　もう一踏ん張り　ねえ…

心の中　私と私が
ああ　言い合ってる
背中向けた　強気と臆病
ああ　どっちが勝つ？
自分の声に正直に
キスをしようよ

Fu Fu Fu Fu Fu　準備OK？　今がチャンス
Fu Fu Fu Fu Fu　抱きしめてよ　恋の手前
何度も呟(つぶや)く
勇気がなくて　宙ぶらりん　ねえ…",https://www.uta-net.com/song/341109/
353496,雨が降ったって,秋元康,塩野海,TomoLow,"さっきまで彼女は　上機嫌だったのに
(鼻歌まじりに　散歩しながら)
だけど　怪しくなった　突然の雲行き
(このタイミングで　何があった？)

そんな時　アタフタしちゃうよね？
(何とかしなくっちゃって…)
こんなことで　振り回されてたら
恋なんかできやしない　ピリピリするな

雨が降ったっていいじゃん
どこにも逃げなくてOK
たまには濡れちゃったっていいじゃん
開き直れば　この世は最高
明日がどういう日になるか
楽しみになって来る

何があったの？　なんて聞いたりしちゃダメ
(彼女の怒りがこっちに向かう)
そうさ花でも眺め　気づかないふりして
(どうにかこうにか　やり過ごそう)

恋をして　大切なことって
(ジタバタしないマイペース)
些細なこと　気になんかしてたら
顔色を伺って自分じゃなくなる

喧嘩をしたっていいじゃん
我慢をするよりずっといい
ああだのこうだの言っちゃって
スッキリしちゃって仲直り
二人がこれからどうなるか
ワクワクして来るよ

心を丸裸にして　嫌いな部分も見せ合おう
それが本当の　恋人同士　気が楽になるはず

風が吹いたっていいじゃん
どこかへ流されるだけさ
いろいろあったっていいじゃん
恋をするってそういうこと

雨が降ったっていいじゃん
どこにも逃げなくてOK
たまには濡れちゃったっていいじゃん
開き直れば　この世は最高
明日がどういう日になるか
楽しみになって来る
二人がこれからどうなるか
ワクワクして来るよ
ドキドキさせてくれ",https://www.uta-net.com/song/353496/
