song_id,title,lyricist,composer,arranger,opening_lyrics,full_lyrics,song_url
311460,あっけない粉雪,秋元康,丸山真由子,若田部誠,風が急に冷たくなって　どんよりした雲行きは　天気予報通り　パーカーのフード　被った辺りで　向こうからやって来た君と誰か　　さりげなく　腕を組んでるのは　Maybe　友達じゃないだろう　天を仰ぎ呟(つぶや)く　白い息が舞ってる　　粉雪があっけなく　掌(てのひら)で溶けるように　僕の片想いも一瞬だった　愛しさが胸の底に降り積もってしまうより　ドキドキできただけでよかったかもね　　笑い声が遠ざかってく　一方的な声なんて伝わるわけない　もしも気持ちが届いたとしても　雲間(くもま)から太陽は見えないだろう　　肩先に静かに留(とど)まる　そう　この恋の破片(かけら)たち　人を想う感情　何を語るつもりだ？　　粉雪はしんしんと　地上まで落ちてくけど　君の足跡さえ消してくれない　思い出ができる前に　ただの水になれた分　これから先は一人歩いて行ける　　何もなかったかのように　それは雨に変わった　　粉雪があっけなく　掌(てのひら)で溶けるように　僕の片想いも一瞬だった　愛しさが胸の底に降り積もってしまうより　ドキドキできただけでよかったかもね,"風が急に冷たくなって
どんよりした雲行きは　天気予報通り
パーカーのフード　被った辺りで
向こうからやって来た君と誰か

さりげなく　腕を組んでるのは
Maybe　友達じゃないだろう
天を仰ぎ呟(つぶや)く
白い息が舞ってる

粉雪があっけなく　掌(てのひら)で溶けるように
僕の片想いも一瞬だった
愛しさが胸の底に降り積もってしまうより
ドキドキできただけでよかったかもね

笑い声が遠ざかってく
一方的な声なんて伝わるわけない
もしも気持ちが届いたとしても
雲間(くもま)から太陽は見えないだろう

肩先に静かに留(とど)まる
そう　この恋の破片(かけら)たち
人を想う感情
何を語るつもりだ？

粉雪はしんしんと　地上まで落ちてくけど
君の足跡さえ消してくれない
思い出ができる前に　ただの水になれた分
これから先は一人歩いて行ける

何もなかったかのように
それは雨に変わった

粉雪があっけなく　掌(てのひら)で溶けるように
僕の片想いも一瞬だった
愛しさが胸の底に降り積もってしまうより
ドキドキできただけでよかったかもね",https://www.uta-net.com/song/311460/
376942,雨が上がるその瞬間,秋元康,オオヤギヒロオ,オオヤギヒロオ,もやもやしてたのは　ほんの些細なことで　私以外　そう誰も気になんかしてない　それでもなぜだろう　今　心の底から　大声で笑えない自分が確かにいる　　LUUPに飛び乗って　どこかへ行ってみたいけど　朝からの雨はずっと　街を(濡らし)涙(こぼす)ように降るよ　　だから　空を見上げて待ってた　晴れ間が顔を出すまで　雨雲に覆(おお)われてる　この先の未来　　きっと　そのうちに変わるでしょう　ぼんやり遠くを眺めて　のんびり時間を過ごそう　一番好きなのは　雨が上がるその瞬間(とき)　　窓ガラスの雫　やり残したことのように　ずっと引っ掛かったまま　1mm(イチミリ)も動かない　　家の中にいたって　気分は何も晴れないよ　傘差して外に出れば　思い(がけぬ)人と(出会う)こともあるだろう　　何もしないで待ってるだけじゃ　明日は今日の延長　ずぶ濡れになって歩く　自分を見てみたい　そんな現実味のないことを考えている時間が好きだ　急ぐことなんてないさ　希望が見えて来る　雨が上がるその瞬間(とき)　　それが私のこの人生を　変えてくれるわけじゃない　少しだけ明るくなるタイミングが好きだ　　だから　空を見上げて待ってた　晴れ間が顔を出すまで　雨雲に覆(おお)われてる　この先の未来　　きっと　そのうちに変わるでしょう　ぼんやり遠くを眺めて　のんびり時間を過ごそう　一番好きなのは　雨が上がるその瞬間(とき),"もやもやしてたのは
ほんの些細なことで
私以外　そう誰も気になんかしてない
それでもなぜだろう
今　心の底から
大声で笑えない自分が確かにいる

LUUPに飛び乗って
どこかへ行ってみたいけど
朝からの雨はずっと　街を(濡らし)涙(こぼす)ように降るよ

だから　空を見上げて待ってた
晴れ間が顔を出すまで
雨雲に覆(おお)われてる
この先の未来

きっと　そのうちに変わるでしょう
ぼんやり遠くを眺めて
のんびり時間を過ごそう
一番好きなのは
雨が上がるその瞬間(とき)

窓ガラスの雫　やり残したことのように
ずっと引っ掛かったまま　1mm(イチミリ)も動かない

家の中にいたって　気分は何も晴れないよ
傘差して外に出れば　思い(がけぬ)人と(出会う)こともあるだろう

何もしないで待ってるだけじゃ　明日は今日の延長
ずぶ濡れになって歩く　自分を見てみたい
そんな現実味のないことを考えている時間が好きだ
急ぐことなんてないさ
希望が見えて来る
雨が上がるその瞬間(とき)

それが私のこの人生を　変えてくれるわけじゃない
少しだけ明るくなるタイミングが好きだ

だから　空を見上げて待ってた
晴れ間が顔を出すまで
雨雲に覆(おお)われてる
この先の未来

きっと　そのうちに変わるでしょう
ぼんやり遠くを眺めて
のんびり時間を過ごそう
一番好きなのは
雨が上がるその瞬間(とき)",https://www.uta-net.com/song/376942/
348145,生きがい,秋元康,上田晃司,住谷翔平,サヨナラ(サヨナラ)　好きな人よ(お別れだ)　今日から(今日から)一人で　自分の夢を叶えてみる　　夕暮れの桟橋で　沖合いの船を見て　積んでいるコンテナを想像してた　もしあそこに隠れて　密航できるのなら　迷わなかった　　行き先はどこでもいいんだ　小さなこの街じゃなければ　住処(すみか)はすぐ見つかるだろう　　今　持っている幸せの全てを　投げ出す覚悟はあるのか？　瞼(まぶた)閉じて　心感じて　答えを出そう(正直に)　掴んだものは　夢なんかじゃなくて　ぼんやり　眺めていたもの　どうしても欲しい　唯一無二なら　絶対手に入れよう　生きがい　　対岸を縁取った　工場のその光　この先に行くなって　言いたいのか？　やりたいことがあれば　ここでやればいいって　夜に止められた　　君と別れた価値はあるのか？　計画が何だか杜撰(ずさん)で　勝手な僕の思い込みだ　　目の前のこの幸せな世界で　満足できないのはなぜ？　宝島は遠くにあると　信じ込んでる(僕なんだ)　やさしい歌を歌えるようになれば　日常に発見があると　君に言われたあの日の夜を　今　思い出した　生きがい　　自分が　変わるって　難しい　チャレンジだ　　あんな(深く)一人(ずっと)考えても　僕は(何を)思い(悩み)星の下で　ここにいるのか？　　今　持っている幸せの全てを　投げ出す覚悟はあるのか？　瞼(まぶた)閉じて　心感じて　答えを出そう(正直に)　掴んだものは　夢なんかじゃなくて　ぼんやり　眺めていたもの　どうしても欲しい　唯一無二なら　絶対手に入れよう　生きがい　　サヨナラ(サヨナラ)　好きな人よ(お別れだ)　今日から(今日から)一人で　自分の夢を叶えてみる,"サヨナラ(サヨナラ)
好きな人よ(お別れだ)
今日から(今日から)一人で
自分の夢を叶えてみる

夕暮れの桟橋で　沖合いの船を見て
積んでいるコンテナを想像してた
もしあそこに隠れて　密航できるのなら
迷わなかった

行き先はどこでもいいんだ
小さなこの街じゃなければ
住処(すみか)はすぐ見つかるだろう

今　持っている幸せの全てを
投げ出す覚悟はあるのか？
瞼(まぶた)閉じて　心感じて
答えを出そう(正直に)
掴んだものは　夢なんかじゃなくて
ぼんやり　眺めていたもの
どうしても欲しい　唯一無二なら
絶対手に入れよう
生きがい

対岸を縁取った　工場のその光
この先に行くなって　言いたいのか？
やりたいことがあれば　ここでやればいいって
夜に止められた

君と別れた価値はあるのか？
計画が何だか杜撰(ずさん)で
勝手な僕の思い込みだ

目の前のこの幸せな世界で
満足できないのはなぜ？
宝島は遠くにあると
信じ込んでる(僕なんだ)
やさしい歌を歌えるようになれば
日常に発見があると
君に言われたあの日の夜を
今　思い出した
生きがい

自分が
変わるって
難しい
チャレンジだ

あんな(深く)一人(ずっと)考えても
僕は(何を)思い(悩み)星の下で
ここにいるのか？

今　持っている幸せの全てを
投げ出す覚悟はあるのか？
瞼(まぶた)閉じて　心感じて
答えを出そう(正直に)
掴んだものは　夢なんかじゃなくて
ぼんやり　眺めていたもの
どうしても欲しい　唯一無二なら
絶対手に入れよう
生きがい

サヨナラ(サヨナラ)
好きな人よ(お別れだ)
今日から(今日から)一人で
自分の夢を叶えてみる",https://www.uta-net.com/song/348145/
266240,意志,秋元康,バグベア,APAZZI,こんな近くにみんながいても　何を話してるか聴こえないんだ　まるでガラスの壁があるようで　僕だけがそっちを見ないフリしてた　　Why？何が気に入らないの？　Why？僕は僕でしかない　Why？作り笑いを浮かべて　Why？手招きする人たちよ　　一人きりでも生きていけるんだ　数の問題じゃない　信じていれば強くなれる　何が正しい？(嘘なのか？)　説得なんかされたくはないし　自分は自分でいい　ずっとここから出たくはないよ　人それぞれだ(アイデンティティ)　真実はいつも　多数決じゃない　　僕が初めて思いを寄せた　君をガラス越しにいつも見ていた　何も言葉は交わさなかったけど　いつからか時々　目が合い始めた　　No！声を出しちゃダメだよ　No！僕には関わるなよ　No！会話しているだけでも　No！仲間にされちゃうだろう　　一人きりでも間違っていない　何を反論されても　自分の意見曲げたくない　それがプライド(愚かでも)　妥協なんかはしたくないし　好きなようにするだけだ　君を巻き込みたくなんかない　目を逸らしてくれ(僕から)　そうさ　愛だって　痩せ我慢だ　　変わりたい(それもチョイス)　変わらない(それもチョイス)　自分にとってのプライオリティ　こうでしか(生きられない)　こうでしか(守れないよ)　どう生きたいか意志がある(ごめんね)　ここから遠くで見てるよ　　強情だってわかっているんだ　失うものばかりで　それでも僕は歯を食いしばって　孤独でいるよ　　一人きりでも生きていけるんだ　数の問題じゃない　信じていれば強くなれる　何が正しい？(嘘なのか？)　説得なんかされたくはないし　自分は自分でいい　ずっとここから出たくはないよ　人それぞれだ(アイデンティティ)　真実はいつも　多数決じゃない　　(多数決じゃない)　　(多数決じゃない),"こんな近くにみんながいても
何を話してるか聴こえないんだ
まるでガラスの壁があるようで
僕だけがそっちを見ないフリしてた

Why？何が気に入らないの？
Why？僕は僕でしかない
Why？作り笑いを浮かべて
Why？手招きする人たちよ

一人きりでも生きていけるんだ
数の問題じゃない
信じていれば強くなれる
何が正しい？(嘘なのか？)
説得なんかされたくはないし
自分は自分でいい
ずっとここから出たくはないよ
人それぞれだ(アイデンティティ)
真実はいつも
多数決じゃない

僕が初めて思いを寄せた
君をガラス越しにいつも見ていた
何も言葉は交わさなかったけど
いつからか時々　目が合い始めた

No！声を出しちゃダメだよ
No！僕には関わるなよ
No！会話しているだけでも
No！仲間にされちゃうだろう

一人きりでも間違っていない
何を反論されても
自分の意見曲げたくない
それがプライド(愚かでも)
妥協なんかはしたくないし
好きなようにするだけだ
君を巻き込みたくなんかない
目を逸らしてくれ(僕から)
そうさ　愛だって
痩せ我慢だ

変わりたい(それもチョイス)
変わらない(それもチョイス)
自分にとってのプライオリティ
こうでしか(生きられない)
こうでしか(守れないよ)
どう生きたいか意志がある(ごめんね)
ここから遠くで見てるよ

強情だってわかっているんだ
失うものばかりで
それでも僕は歯を食いしばって
孤独でいるよ

一人きりでも生きていけるんだ
数の問題じゃない
信じていれば強くなれる
何が正しい？(嘘なのか？)
説得なんかされたくはないし
自分は自分でいい
ずっとここから出たくはないよ
人それぞれだ(アイデンティティ)
真実はいつも
多数決じゃない

(多数決じゃない)

(多数決じゃない)",https://www.uta-net.com/song/266240/
266238,いつだってそばにいる,秋元康,杉山勝彦,杉山勝彦,そんな瞳で見つめないで　できることなら抱きしめたいんだ　心は君から離れない　いつだってそばにいる　　涙をこぼしちゃいけない　いい思い出まで流れちゃうよ　頑張って　奥歯噛み締め　僕たちは微笑む　　人は夢見て　信じて　不安な一歩　踏み出す　いつかは君もここを出て行く　その日のための今日さ　　悲しい時は瞼(まぶた)閉じて　大丈夫だと言い聞かせるんだ　まだまだ君が心配だから　いつだってそばにいる　　後ろを追いかけて来るな　僕も振り向いてしまうから　ようやく　決心したのに　切なさに揺れるよ　　人は出会って　別れて　自分の道を行くんだ　眩しい日々の記憶のすべて　陽灼けのように残る　　いつかどこかで　また会えるさ　これで終わりのサヨナラじゃないよ　大人になった君に会いたい　思い出のそばにいる　　そんな瞳で見つめないで　できることなら抱きしめたいんだ　心は君から離れない　いつだってそばにいる　　寂しいんだ　　いつまでもそばにいて,"そんな瞳で見つめないで
できることなら抱きしめたいんだ
心は君から離れない
いつだってそばにいる

涙をこぼしちゃいけない
いい思い出まで流れちゃうよ
頑張って　奥歯噛み締め
僕たちは微笑む

人は夢見て　信じて
不安な一歩　踏み出す
いつかは君もここを出て行く
その日のための今日さ

悲しい時は瞼(まぶた)閉じて
大丈夫だと言い聞かせるんだ
まだまだ君が心配だから
いつだってそばにいる

後ろを追いかけて来るな
僕も振り向いてしまうから
ようやく　決心したのに
切なさに揺れるよ

人は出会って　別れて
自分の道を行くんだ
眩しい日々の記憶のすべて
陽灼けのように残る

いつかどこかで　また会えるさ
これで終わりのサヨナラじゃないよ
大人になった君に会いたい
思い出のそばにいる

そんな瞳で見つめないで
できることなら抱きしめたいんだ
心は君から離れない
いつだってそばにいる

寂しいんだ

いつまでもそばにいて",https://www.uta-net.com/song/266238/
170384,今　君を想う,秋元康,川島有真,若田部誠,春一番　吹くように　胸の奥が乱れてる　突然の引っ越しを　今さっき聞かされて立ち尽くす　　昨日までそばにいた　君がいなくなるなんて　明日からは　ねえ誰と　笑ったり　泣いたりすればいいの　　永遠の別れじゃない　いつかきっと帰って来るよ　だから涙はそれまで取っておいて　いつもの笑顔で見送って欲しい　　今　君を想う　どこにいても　何をしてても　君を想う　僕たちはひとつだ　　遅くまでレッスンして　夢のために頑張ったね　喧嘩をして　傷ついて　慰めて　仲直りしたあの日　　思い出が足りないから　早く　早く帰って来てね　だからお互い成長できるように　遠くのライバル　ずっと競い合おう　　ふと　風の中に　君の声が聴こえて来る　風の中に　僕たちの約束　　今　君を想う　どこにいても　何をしてても　君を想う　僕たちはひとつだ　　君を想う　目を閉じれば　今もここに…　君を想う　旅立ちの仲間よ,"春一番　吹くように
胸の奥が乱れてる
突然の引っ越しを
今さっき聞かされて立ち尽くす

昨日までそばにいた
君がいなくなるなんて
明日からは　ねえ誰と
笑ったり　泣いたりすればいいの

永遠の別れじゃない
いつかきっと帰って来るよ
だから涙はそれまで取っておいて
いつもの笑顔で見送って欲しい

今　君を想う
どこにいても　何をしてても
君を想う
僕たちはひとつだ

遅くまでレッスンして
夢のために頑張ったね
喧嘩をして　傷ついて
慰めて　仲直りしたあの日

思い出が足りないから
早く　早く帰って来てね
だからお互い成長できるように
遠くのライバル　ずっと競い合おう

ふと　風の中に
君の声が聴こえて来る
風の中に
僕たちの約束

今　君を想う
どこにいても　何をしてても
君を想う
僕たちはひとつだ

君を想う
目を閉じれば　今もここに…
君を想う
旅立ちの仲間よ",https://www.uta-net.com/song/170384/
156542,ウインクは3回,秋元康,truly truth,野中“まさ”雄一,ウインクは3回　そう勝手に決めてた　言葉より伝わるでしょう　瞳の奥で囁(ささや)くわ　あなたが大好き　瞬(まばた)きサイン　　ライバルが多すぎるの　学校中にファンばかり　校庭を歩くだけで　窓辺にすずなりの女子　　廊下ですれ違ったら　チャンスは逃がさない　一瞬の隙を見て　試してみるわ　Hey! Hey! Hey!　　ウインクは3回　1回じゃ少なすぎる　4回は多いし　3回くらいがちょうどいい告白　まわりには気づかれないで　視線の意味がわかるはず　私を覚えて　ファーストメッセージ　　放課後の校門には　他の学校の女子がいっぱいで　サッカー部の練習終わりまで　出待ちするファンミーティング　　順番　ただ待ってたら　何にも始まらない　目と目が合った時に　祈ってみるわ　Oh プリーズ!　　ウインクは3回　そう勝手に決めてた　印象に残るかな　左目の方が得意だって思う　言葉より伝わるでしょう　瞳の奥で囁(ささや)くわ　あなたが大好き　瞬(まばた)きサイン　　ウインクは3回　1回じゃ少なすぎる　4回は多いし　3回くらいがちょうどいい告白　まわりには気づかれないで　視線の意味がわかるはず　私を覚えて　ファーストメッセージ,"ウインクは3回
そう勝手に決めてた
言葉より伝わるでしょう
瞳の奥で囁(ささや)くわ
あなたが大好き
瞬(まばた)きサイン

ライバルが多すぎるの
学校中にファンばかり
校庭を歩くだけで
窓辺にすずなりの女子

廊下ですれ違ったら
チャンスは逃がさない
一瞬の隙を見て
試してみるわ
Hey! Hey! Hey!

ウインクは3回
1回じゃ少なすぎる
4回は多いし
3回くらいがちょうどいい告白
まわりには気づかれないで
視線の意味がわかるはず
私を覚えて
ファーストメッセージ

放課後の校門には
他の学校の女子がいっぱいで
サッカー部の練習終わりまで
出待ちするファンミーティング

順番　ただ待ってたら
何にも始まらない
目と目が合った時に
祈ってみるわ
Oh プリーズ!

ウインクは3回
そう勝手に決めてた
印象に残るかな
左目の方が得意だって思う
言葉より伝わるでしょう
瞳の奥で囁(ささや)くわ
あなたが大好き
瞬(まばた)きサイン

ウインクは3回
1回じゃ少なすぎる
4回は多いし
3回くらいがちょうどいい告白
まわりには気づかれないで
視線の意味がわかるはず
私を覚えて
ファーストメッセージ",https://www.uta-net.com/song/156542/
224133,HKT48ファミリー,秋元康,丸谷マナブ・本柳タカヲ,,あれから何年経った？　集まってから　笑って泣いた毎日　いろいろあったね　嬉しいこと　悲しいこと　悔しいことも　みんながいてくれたから　しあわせな日々　　まだまだ(まだまだ)これから(これから)　夢　見続けるこの場所で　歌おう(歌おう)踊ろう(踊ろう)　世界で一番盛り上がろう　　HKT48　隣の人と肩を組もうよ　HKT48　熱い気持ち　一つになろう　HKT48ファミリー　　新たな人生探し　卒業もあった　一緒に汗　かいたら　今でも仲間だ　オーディションで入ってきた　新人だって　同(おんな)じ空　見上げて　青春の時間(とき)　　さあさあ(さあさあ)これから(これから)　全力疾走　終わらない　叫ぼう(叫ぼう)手を振ろう(手を振ろう)　みんなが燃え尽きるまで　　HKT48　ここにいるのは仲間じゃないか　HKT48　大きな声で口ずさもうよ　GO！ GO！ GO！ GO！　　恥ずかしがらないで　勇気出して歌いなさい　関係者席も　立ち上がって盛り上がれ！　　HKT48　隣の人と肩を組もうよ　HKT48　熱い気持ち　一つになろう　HKT48　HKT48ファミリー　HKT48　みんな　大好き～　　HKT48,"あれから何年経った？
集まってから
笑って泣いた毎日
いろいろあったね
嬉しいこと　悲しいこと
悔しいことも
みんながいてくれたから
しあわせな日々

まだまだ(まだまだ)これから(これから)
夢　見続けるこの場所で
歌おう(歌おう)踊ろう(踊ろう)
世界で一番盛り上がろう

HKT48
隣の人と肩を組もうよ
HKT48
熱い気持ち　一つになろう
HKT48ファミリー

新たな人生探し
卒業もあった
一緒に汗　かいたら
今でも仲間だ
オーディションで入ってきた
新人だって
同(おんな)じ空　見上げて
青春の時間(とき)

さあさあ(さあさあ)これから(これから)
全力疾走　終わらない
叫ぼう(叫ぼう)手を振ろう(手を振ろう)
みんなが燃え尽きるまで

HKT48
ここにいるのは仲間じゃないか
HKT48
大きな声で口ずさもうよ
GO！ GO！ GO！ GO！

恥ずかしがらないで
勇気出して歌いなさい
関係者席も
立ち上がって盛り上がれ！

HKT48
隣の人と肩を組もうよ
HKT48
熱い気持ち　一つになろう
HKT48
HKT48ファミリー
HKT48
みんな　大好き～

HKT48",https://www.uta-net.com/song/224133/
180725,大人列車,秋元康,外山大輔,野中“まさ”雄一,動き出した車輪　君が乗っているのに…　駅のホームで数秒　僕は間に合わなかった　遠い街へ向かう　噂　聞いていたけど　まさかこんなに急だと　知らなかったよ　　さよならを言えば　自分の気持ち　ちゃんと整理できたのだろうか？　　大人列車　僕はまた乗れぬまま　見送りながら　胸の奥の痛みに　何か教えられる　こんなに悲しい別れと　深い絶望の淵で　光を探すように　悲しみ　克服して行く　　ベルが鳴った瞬間　君は振り向いたのかな　ここに残した未来が　後ろ髪引く　　約束をすれば　時間通りに　僕は見送りに来ただろうか？　　大人列車　君は一人乗り込み　知らぬ世界へ　僕はいつものように　夢を見て願うよ　誰もいないこの場所を　いつか旅立つ日が来ると…　今しかできないこと　もどかしいだけの青春　　恋はいつも中途半端に終わり　孤独を知るよ　若さとは不器用で　やり残すもの　　大人列車　僕はまた乗れぬまま　見送りながら　胸の奥の痛みに　何か教えられる　こんなに悲しい別れと　深い絶望の淵で　光を探すように　悲しみ　克服して行く,"動き出した車輪
君が乗っているのに…
駅のホームで数秒
僕は間に合わなかった
遠い街へ向かう
噂　聞いていたけど
まさかこんなに急だと
知らなかったよ

さよならを言えば
自分の気持ち
ちゃんと整理できたのだろうか？

大人列車　僕はまた乗れぬまま
見送りながら
胸の奥の痛みに
何か教えられる
こんなに悲しい別れと
深い絶望の淵で
光を探すように
悲しみ　克服して行く

ベルが鳴った瞬間
君は振り向いたのかな
ここに残した未来が
後ろ髪引く

約束をすれば
時間通りに
僕は見送りに来ただろうか？

大人列車　君は一人乗り込み
知らぬ世界へ
僕はいつものように
夢を見て願うよ
誰もいないこの場所を
いつか旅立つ日が来ると…
今しかできないこと
もどかしいだけの青春

恋はいつも中途半端に終わり
孤独を知るよ
若さとは不器用で
やり残すもの

大人列車　僕はまた乗れぬまま
見送りながら
胸の奥の痛みに
何か教えられる
こんなに悲しい別れと
深い絶望の淵で
光を探すように
悲しみ　克服して行く",https://www.uta-net.com/song/180725/
143892,お願いヴァレンティヌ,秋元康,小川コータ,生田真心,一生で何回くらい　好きな人に　出逢えるのかな?　こんなに切なく苦しいのは　彼が最初で最後でしょう　　学生服の　その背中に　声を掛けられない　　お願いヴァレンティヌ　チャンスください　部室へ向かった　踊り場の途中で　今日は特別　そう告白DAY　みんなに紛れながら　そっと…　お願いヴァレンティヌ　チョコをあげたい　クラスメイトに　気づかれないように…　すれ違い様　こっそり　バレンタインデー希望　　一年で一回だけ　臆病者にも　勇気の時　当たって砕ければいいなんて　第三者は無責任ね　　あんなにいっぱい　チョコを貰った　彼が遠くに見える　　お願いヴァレンティヌ　愛をください　もしも答えが　NOでも構わない　告白しなきゃ　そうよハートが　破裂しそうなのよ　パンって…　お願いヴァレンティヌ　思い出したい　こんなに好きで　息もできないくらい　何をしてても　チクチク　胸が痛んだ日々を…　　ねえ　片想いも　捨てたものじゃない　ロマンティックなスリル　　お願いヴァレンティヌ　チャンスください　部室へ向かった　踊り場の途中で　今日は特別　そう告白DAY　みんなに紛れながら　そっと…　お願いヴァレンティヌ　チョコをあげたい　クラスメイトに　気づかれないように…　すれ違い様　こっそり　バレンタインデー　バレンタインデー　バレンタインデー　グッドラック!,"一生で何回くらい
好きな人に
出逢えるのかな?
こんなに切なく苦しいのは
彼が最初で最後でしょう

学生服の
その背中に
声を掛けられない

お願いヴァレンティヌ
チャンスください
部室へ向かった
踊り場の途中で
今日は特別
そう告白DAY
みんなに紛れながら
そっと…
お願いヴァレンティヌ
チョコをあげたい
クラスメイトに
気づかれないように…
すれ違い様
こっそり
バレンタインデー希望

一年で一回だけ
臆病者にも
勇気の時
当たって砕ければいいなんて
第三者は無責任ね

あんなにいっぱい
チョコを貰った
彼が遠くに見える

お願いヴァレンティヌ
愛をください
もしも答えが
NOでも構わない
告白しなきゃ
そうよハートが
破裂しそうなのよ
パンって…
お願いヴァレンティヌ
思い出したい
こんなに好きで
息もできないくらい
何をしてても
チクチク
胸が痛んだ日々を…

ねえ　片想いも
捨てたものじゃない
ロマンティックなスリル

お願いヴァレンティヌ
チャンスください
部室へ向かった
踊り場の途中で
今日は特別
そう告白DAY
みんなに紛れながら
そっと…
お願いヴァレンティヌ
チョコをあげたい
クラスメイトに
気づかれないように…
すれ違い様
こっそり
バレンタインデー
バレンタインデー
バレンタインデー
グッドラック!",https://www.uta-net.com/song/143892/
