song_id,title,lyricist,composer,arranger,release_year,release_title,release_type,members,center,formation_rows,opening_lyrics,full_lyrics,song_url
1,てっぺんとったんで！,秋元康,横健介,武藤星児,2013,てっぺんとったんで！,other,,,,"負けへんで！
(負けたらあかん！)","負けへんで！
(負けたらあかん！)
負けへんで！
(負けたらあかん！)

AHー　見渡せば
あっちも　そっちも　ライバルやん
AHー　あんたってな
恋の倍率が高すぎ
って言うても
降りひんで
「喧嘩腰にならんかったら恋やない」

その可愛いコ
どつき倒しちゃうくらいに
恥も見えも外聞も
すべて捨てて戦うで！

カチコミや
てっぺん　てっぺんとったんで
欲しいものは欲しいわ
女のてっぺんとったんで
こんな気持ち初めてや
好きやねん
(告白(こく)らなあかん)
女のてっぺんとったんで
じっと指をくわえて
見てるだけじゃアホやで
当たって砕けてナンボや

負けへんで！
(負けたらあかん！)

AHー　親友に
相談してみりゃライバルやん
AHー　友情もな
関係ないよな競争や
選ばれるんは一人だけ
世界一しあわせな恋人よ

おう　噛み付くで
舐められちゃったら終わりや
近寄る者を蹴落として
愛はいつも命懸け

猪突猛進
てっぺん　てっぺんとったんで
２等なんかいらんわ
日本のてっぺんとったんで
胸の奥が痛いねん
つきおうて
(つきおうてやれ)
日本のてっぺんとったんで
もっとこの手伸ばして
掴み取らな嘘やろ
目指す夢はオンリーワン

カチコミや
てっぺん　てっぺんとったんで
欲しいものは欲しいわ
女のてっぺんとったんで
こんな気持ち初めてや
好きやねん
(告白(こく)らなあかん)
女のてっぺんとったんで
じっと指をくわえて
見てるだけじゃアホやで
当たって砕けてナンボや

負けへんで！
(負けたらあかん！)
負けへんで！
(負けたらあかん！)",https://www.uta-net.com/song/142444/
2,絶滅黒髪少女,秋元康,GRAVITY,GRAVITY,2013,てっぺんとったんで！,other,,,,"君はどこの誰なの？
はっとする清純","君はどこの誰なの？
はっとする清純
みんなの視線集めて
海の家まで歩く

シュワシュワ
石鹸の泡みたい
白いさざ波
砂浜
汚(けが)れを知らないまま

絶滅の危機
黒髪
少女よ
OH !
守りたい
絶滅の危機
黒髪
少女よ
OH !　保護したい
やっと出会った(やっと出会った)
黒髪少女よ

僕は君に夢中さ
ずっと追いかけたいよ
写真を撮っていいかな?
ちょっと感動してる

ピュアピュア
誰だって　生まれたその瞬間は…
いつしか
大人になって変わる

天然記念物
清楚な
少女よ
OH !
珍しい
天然記念物
すっぴん
少女よ
OH !　美しい
茶髪全盛(茶髪全盛)
奇跡の少女よ

絶滅の危機
黒髪
少女よ
OH !
守りたい
絶滅の危機
黒髪
少女よ
OH !　保護したい
やっと出会った(やっと出会った)
黒髪少女よ

なかなかいないよ
黒髪
少女よ
OH !
滅び行く
なかなかいないよ
黒髪
少女よ
OH !　日本の美
守ってくれよ(守ってくれよ)
黒髪少女よ",https://www.uta-net.com/song/116356/
3,オーマイガー！,秋元康,五戸力,生田真心,2013,てっぺんとったんで！,other,,,,"部活帰りで油断していた
汗にまみれたジャージの上下","部活帰りで油断していた
汗にまみれたジャージの上下
商店街で買ったコロッケ
ハフハフハフって頬張ってた

ふいに誰かから
声を掛けられて
振り返ったその瞬間

オーマイガー!
だってだってあなたがいた
(片想い中)
よりによって
こんな状況で…
だってだって女の子だもん
(Bad timing)
可愛い私で会いたかったのに…

夕陽の中で微笑むあなた
いつものような爽やか路線
ぺたっとした髪　変なピンどめ
今の私はすっぴん路線

恋をする方は
後悔ばかりで
自信なんか持てないよ

オーマイガー!
ずっとずっと反省会
(ショックだわ)
こんな格好で
会っちゃうなんて
ずっとずっと大好きなのに…
(大失敗)
よそいきの顔で会いたかったのに…

オーマイガー!
だってだってあなたがいた
(片想い中)
よりによって
こんな状況で…
だってだって女の子だもん
(Bad timing)
可愛い私で会いたかったのに…

あなたが笑う
「君らしくて　君らしくて
君らしくて　好きさ」",https://www.uta-net.com/song/120668/
4,純情U-19,秋元康,つじたかひろ,武藤星児,2013,てっぺんとったんで！,other,,,,"学校帰り
あなたに誘われた","学校帰り
あなたに誘われた
「今夜　うちに遊びに来いよ」
家族はみんな
旅行中ってことね
2人きりで門限破り

あ～そんな時がいつかやって来ると
女の子は誰も　夢を見ているけど…

19歳(じゅうく)まで
純情を守らせてくれ
もったいぶって
焦(じ)らすんじゃなくて
そう決めていたのよ
大人にはなれるでしょう
いつの日にか
だから　もう少しだけ
鉄のパンツ

「何もしない」って
トラップの常套句(じょうとうく)
お姉ちゃんたちが言っていたわ
恋の旨味は
スリルがスパイスで
抑えきれない好奇心

ねえ～そんな顔でマジで拗ねてないで
男の子はもっと　我慢をしなさい

19歳(じゅうく)まで
純情を貫きたいよ
甘い言葉や
成り行きなんかで
流されたくないの
あなたのこと愛してる
大事な人
何歳(いくつ)　歳を取ったら
わかり合える?

19歳(じゅうく)まで
純情を守らせてくれ
もったいぶって
焦(じ)らすんじゃなくて
そう決めていたのよ
大人にはなれるでしょう
いつの日にか
だから　もう少しだけ
鉄のパンツ",https://www.uta-net.com/song/125296/
5,ナギイチ,秋元康,すみだしんや,生田真心,2013,てっぺんとったんで！,other,,,,"灼熱の砂浜
寝そべった水着ショー","灼熱の砂浜
寝そべった水着ショー
海のその青さ
空まで染みる
散らばったジュエルが
キラキラと輝いて
目移りするなら盗んじゃえ!

そばにいすぎて
慣れてしまった
大事なものが
ここに　あるよ　きっと…
思い出せ!

渚で一番かわいいGirl
あなたはどの娘(こ)を指差すの?
ナギイチ　はっきりしようじゃないか
夏の恋は　誰と…誰とする?

ハンパない太陽
照りつける光と影
どこが熱いかとか
見当つかない
どれくらい思えば
愛しさをかたちにして
あなたまでちゃんと伝わるの?

友達じゃなく
恋人じゃない
自由な距離さ
いつの　日にか　きっと…
わかるんだ

渚で一番かわいいGirl
当然　私は自信ある
ナギイチ　白黒つけようじゃないか
夢の中でキスを…キスをしよう

渚で一番かわいいGirl
あなたはどの娘(こ)を指差すの?
ナギイチ　はっきりしようじゃないか
答えなさい　誰と…誰と…
夏の恋は　結局　私でしょう?",https://www.uta-net.com/song/129419/
6,ヴァージニティー,秋元康,田中俊亮,増田武史,2013,てっぺんとったんで！,other,,,,"ねえ　キスをしたって
減るもんじゃない","ねえ　キスをしたって
減るもんじゃない
言いたいこと　わかるけど
でも　キスしちゃったら
何か減るんだ
私の中の
ヴァージニティー

日が暮れて行く教室の外
窓枠の空が砂時計
カーテン引いたあなたが急に
大人に見える

そう　好きよ　誰より好きは好きよ
冷静じゃダメなんだ

ねえ　キスをしたって
減るもんじゃない
男の子は思うでしょ?
でも　キスしちゃったら
きっと変わるよ
パパに言えない
ヴァージニティー
汚さないで
ヴァージニティー

非常階段　緑のサイン
ぼんやり浮かんだ廊下で
冗談言って　あなたの顔が
近づいて来た

もう　無理よ　私　こんなの初めて
感情はストレート

ほら　キスをした後
減ってしまった
それが何かわからない
そう　キスされながら
瞼　閉じてた
愛の代わりに
ヴァージニティー
背伸びしてる
ヴァージニティー

ねえ　キスをしたって
減るもんじゃない
言いたいこと　わかるけど
でも　キスしちゃったら
何か減るんだ
私の中の
ヴァージニティー
ヴァージニティー
ヴァージニティー
ヴァージニティー",https://www.uta-net.com/song/133605/
7,北川謙二,秋元康,田中俊亮,野中“まさ”雄一,2013,てっぺんとったんで！,other,,,,"ずっと気になってたんだ
微(かす)かな風の噂","ずっと気になってたんだ
微(かす)かな風の噂
君がつき合ってた彼氏
会いたくなんてないけど
そう　このカフェテリアで
偶然　遭遇してしまった

いたずらっぽいウィンクしながら
顎の先で合図した

Look at
あれが北川謙二だ
君はそっとつぶやいて
僕の　(僕の)
反応　(反応)
楽しんでる
Look at
まさに北川謙二だ
僕はちょっと苛ついて
今の君をもう一度抱きしめる

きっと　聞けないだろう
一番好きな人が
誰とつき合っていたか…
僕は　嫉妬深くて
器も小さすぎる
過去のことも許せないんだ

もしも目の前に　彼がやって来たら
愛のために　戦おう

He is…
あれが北川謙二だ
君は懐かしそうだね
彼の　(彼の)
甘い　(甘い)
そのスマイル
He is…
だけど北川謙二だ
君をしあわせにできなかった
そう　そんな奴に負けたくないんだ

Look at
あれが北川謙二だ
君はわざと大声で
愛と　(愛と)
愛を　(愛を)
試している
Look at
つまり北川謙二だ
そして僕はわかったよ
今の君がキレイなのは
彼のおかげ",https://www.uta-net.com/song/137469/
8,HA!(NMB48バージョン),秋元康,田中明仁,武藤星児,2013,てっぺんとったんで！,other,,,,"HA !
誰か !","HA !
誰か !
私だけ好きになってよ
Love me do !
HA !
恋に破れて
ハートはちょっと出血中
手当をしなさい
やさしく…
HA !
誰か !
お似合いの２人になれる
We can do !
HA !
女の子だから
すぐに立ち直る
No more cry !

失恋を癒すには
さあ　次の恋だ

あなた ! あなた ! あなた !
そこを行く
あなた ! あなた ! あなた !
一般人 !
あんな奴の記憶なんか
その上から書き換えて !
そう　愛こそがボランティア !

HA !
早く !
運命の虜にしてよ
Fall in love !
HA !
夢も破れて
最近ちょっと不眠症
歌って欲しいの
ララバイ
HA !
腕に
抱かれたらぐっすり眠る
Give me love !
HA !
男の子たちは
いつもどうするの？
Tell me why ?

悲しみを埋めるには
しあわせの予感

君だ ! 君だ ! 君だ !
そこにいる
君だ ! 君だ ! 君だ !
赤の他人
彼のことは忘れさせて
さあ新たな人生を !
そう　出会いこそボランティア !

思い出は邪魔になる
前向いて行こう !

あなた ! あなた ! あなた !
そこを行く
あなた ! あなた ! あなた !
一般人 !
あんな奴の記憶なんか
その上から書き換えて !
そう　愛こそがボランティア !",https://www.uta-net.com/song/142443/
9,12月31日,秋元康,川浦正大,川浦正大,2013,てっぺんとったんで！,other,,,,"去年のことを思い出す度
涙が出るよ","去年のことを思い出す度
涙が出るよ
あの大晦日
小さな部屋に一人ぼっち

そう友達は仕事していて
忙しそうで
コンビニで買ったおでん食べながら
紅白を観てた

大勢の若いアイドルが歌ってる
踊っている
私はどうしてここにいる？

ふいに涙
溢れ出して
頬を伝う
そのぬくもり
自分でさえ
あんなに泣いてた理由(わけ)
今でもわからない

田舎の母に
帰らないこと
電話してたら
遠い空から除夜の鐘に叱られたんだ

今年こそ　絶対　あの場所に立っている
笑っている
私は自分に約束しよう

この思いを
胸に秘めて
命懸(いのちが)けで
やるしかない
あの屈辱
一緒に悔しがった
みんなが微笑むまで

ふいに涙
溢れ出して
頬を伝う
そのぬくもり
自分でさえ
あんなに泣いてた理由(わけ)
今でもわからない",https://www.uta-net.com/song/142442/
13,NMB48,秋元康,渡辺未来,高梨康治,2013,てっぺんとったんで！,other,,,,"愛しのNAMBAは
グランド花月","愛しのNAMBAは
グランド花月
居酒屋「たこしげ」
二見の豚まん
兄ちゃんも歩け！歩け！
戎橋
ぶらり　ぶらり　自由軒
あれは　グリコの看板
りくろーおじさんはそこ
豹柄姉ちゃんも
ミス大阪
なんばCITY　なんばウォーク
NAMBAなんなん
HIPS　Hatch

ほな　難波48
うちのとこに
会いに来て
誰よりも
好きになって
頼むわ
なぁ　なぁ
ほな、いくで　難波48
うちのとこに
会いに来て
ここの場所で夢を追いかけるから
応援してな

楽しいNAMBAは
千とせの「肉吸い」
スイスホテル南海大阪
北極　純喫茶フジ
平日もワッショイ！ワッショイ！
くいだおれ
並べ！並べ！
金龍ラーメン
あれは　千日前ファミリーボウル
551も人気だよ

わなか　重亭　北極星
しき浪　milkhall
でんでんタウン
道頓堀

ほな　難波48
一度観たら
やめられへん
また　明日
観に来るやろ？
必ず
Come On! Come On！
そや、うちら　難波48
一度観たら
やめられへん
うちの名前を　絶対に覚えて
指切りやで　イェーイ　イェーイ

ほな　難波48
うちのとこに
会いに来て
誰よりも
好きになって
頼むわ
なぁ　なぁ
ほな、いくで　難波48
うちのとこに
会いに来て
ここの場所で夢を追いかけるから
応援してな

ほな　難波48
ほな、いくで　難波48
そや　難波48
ほな、いくで　難波48",https://www.uta-net.com/song/142439/
