song_id,title,lyricist,composer,arranger,release_year,release_title,release_type,members,center,formation_rows,opening_lyrics,full_lyrics,song_url
2,ぐるぐるカーテン,秋元康,黒須克彦,湯浅篤,2015,透明な色,other,川村真洋;能條愛未;西野七瀬;齋藤飛鳥;斉藤優里;桜井玲香;井上小百合;中田花奈;市來玲奈;橋本奈々未;松村沙友理;白石麻衣;高山一実;生田絵梨花;生駒里奈;星野みなみ,生駒里奈,"生田絵梨花,生駒里奈,星野みなみ|橋本奈々未,松村沙友理,白石麻衣,高山一実|川村真洋,能條愛未,西野七瀬,齋藤飛鳥,斉藤優里,桜井玲香,井上小百合,中田花奈,市來玲奈","カーテンの中
太陽と","カーテンの中
太陽と
彼女と私
ぐるぐる包まれた
プライバシー
何を話してるのか?
教えないよ

何となく
落ち着くの
教室の特等席
仲のいい友達と
2人きりの世界よ

「あのね」
「私ね」
ぴったり身体寄せ
ひとつになったら
何だって
わかり合える

(彼女と私)

カーテンの中
そよ風と
花の香りと
ぬくもりを包む
シークレット
誰に恋したのか
そうよ
女の子なら
いつだって
死角になる場所くらい
こんな時のために
確保してる
男子禁制

たいていは
ふざけてる
私たちの毎日だけど
思いっきり
泣きたくて
ここに来ることもある

「平気」
「大丈夫」
心に近づいて
涙を拭ったり
抱きしめて
聞いてあげる

(誰かと誰か)

カーテンの中
太陽と
彼女と私
ぐるぐる巻かれた
プライバシー
内緒話するの
きっと
男の子たち
さりげなく
耳をそばだてて
どきどきしながら
聞いてるでしょう
ガールズトーク

開(ひら)いた窓
吹き込んだ風が
胸の奥のカーテン
恋の妄想
膨らませてる

カーテンの中
そよ風と
花の香りと
ぬくもりを包む
シークレット
誰に恋したのか
そうよ
女の子なら
いつだって
死角になる場所くらい
こんな時のために
確保してる
男子禁制",https://www.uta-net.com/song/125359/
3,おいでシャンプー,秋元康,小田切大,TATOO,2015,透明な色,other,岩瀬佑美子;市來玲奈;斉藤優里;生田絵梨花;井上小百合;星野みなみ;西野七瀬;畠中清羅;宮澤成良;橋本奈々未;松村沙友理;白石麻衣;高山一実;桜井玲香;生駒里奈;中田花奈,生駒里奈,"桜井玲香,生駒里奈,中田花奈|橋本奈々未,松村沙友理,白石麻衣,高山一実|岩瀬佑美子,市來玲奈,斉藤優里,生田絵梨花,井上小百合,星野みなみ,西野七瀬,畠中清羅,宮澤成良","おいでシャンプー
その長い髪","おいでシャンプー
その長い髪
君の香りに
ときめくよ
おいでシャンプー
夏の陽射しと
風に運ばれ
届くまで　待ってる

白い半袖のシャツがきらり
水のないプール
君はデッキブラシで
掃除してた
僕はホースの先を細めて
霧のその中に
虹を見せるよなんて
ふざけてた

誰より君のこと
一番近くに
感じたいんだ
いつも…

おいでシャンプー
振り向いた時
スローモーションで
揺れる髪
おいでシャンプー
君の予告が
甘く切なく
届いたよ　僕に

君は額の汗を拭って
こっちを見ながら
まだまだ終わらないねって
微笑んだ

こんなの初めてさ
気になってしまうよ
恋なのかなあ
かもね…

おいでシャンプー
瞳　閉じると
僕の前には
君がいる
おいでシャンプー
心のページ
記憶している
ときめきは…不思議

おいでシャンプー
振り向いた時
スローモーションで
揺れる髪
おいでシャンプー
君の予告が
甘く切なく
届いたよ　僕に

これが恋なら夢で会いたい
(おいでシャンプー)
これが恋なら夢が覚めても…",https://www.uta-net.com/song/128308/
4,走れ！Bicycle,秋元康,Shusui;伊藤涼;木村篤史;ヒロイズム,湯浅篤,2015,透明な色,other,斉藤優里;若月佑美;井上小百合;市來玲奈;伊藤万理華;深川麻衣;中田花奈;橋本奈々未;白石麻衣;松村沙友理;西野七瀬;高山一実;生田絵梨花;生駒里奈;星野みなみ,生駒里奈,"生田絵梨花,生駒里奈,星野みなみ|中田花奈,橋本奈々未,白石麻衣,松村沙友理,西野七瀬,高山一実|斉藤優里,若月佑美,井上小百合,市來玲奈,伊藤万理華,深川麻衣","友情と恋愛はどう違う?
いつになく君が熱く語ってた","友情と恋愛はどう違う?
いつになく君が熱く語ってた
後からみんなに言われたんだ
どうしておまえが気づいてあげないのか

ごめんね
僕がよそ見してて…
何だか
胸の奥がざわつく
南風(みなみかぜ)

走れ!Bicycle
急げ!恋
全力でペダル漕ぐ
寂しくさせてしまった
君に追いつきたい
走れ!Bicycle
風になれ!
先を歩く運命を
振り返らせてみたい
僕も君が好きなんだ
両思い

駅前の渋滞のロータリー
君を乗せたバスが今　やっと着く
最後のスパート　立ち漕ぎで
君の名前をここから呼んでみる

今さら
どんな顔をしようか?
ホントは
僕も告りたかった
いつからか

止まれ!Bicycle
もう一度
時の針　巻き戻し
呼吸は乱れていても
君と向かい合おう
止まれ!Bicycle
正直に
話すよ　今の気持ちを
ずっと隠して(い)たこと
君を僕のBicycleで
送ろうか?

言葉にできない
心の独り言
誰もが見過ごして
大事なその人　失(うしな)うんだ

走れ!Bicycle
終わる夏
太陽は知っている
出遅れた愛しさは
君に追いつけるかな
走れ!Bicycle
風になれ!
先を歩く運命を
振り返らせてみたい
僕も君が好きなんだ
両思い",https://www.uta-net.com/song/133356/
5,制服のマネキン,秋元康,杉山勝彦,百石元,2015,透明な色,other,能條愛未;齋藤飛鳥;若月佑美;井上小百合;深川麻衣;市來玲奈;西野七瀬;高山一実;桜井玲香;橋本奈々未;白石麻衣;松村沙友理;秋元真夏;生田絵梨花;生駒里奈;星野みなみ,生駒里奈,"生田絵梨花,生駒里奈,星野みなみ|桜井玲香,橋本奈々未,白石麻衣,松村沙友理,秋元真夏|能條愛未,齋藤飛鳥,若月佑美,井上小百合,深川麻衣,市來玲奈,西野七瀬,高山一実","君が何かを言いかけて
電車が過ぎる高架線","君が何かを言いかけて
電車が過ぎる高架線
動く唇　読んでみたけど
YesかNoか?

河川敷(かせんじき)の野球場で
ボールを打った金属音
黙り込んだ僕らの所(とこ)へ
飛んでくればいい

一歩目を踏み出してみなけりゃ
何も始まらないよ
頭の中で
答えを出すな

恋をするのはいけないことか?
僕の両手に飛び込めよ
若過ぎる　それだけで
大人に邪魔をさせない
恋をするのはいけないことか?
君の気持ちはわかってる
感情を隠したら
制服を着たマネキンだ

冬型の気圧配置に
心が冷え込みそうだよ
自販機の缶コーヒー
君の手にあげる

卒業を待ってみたところで
何も変わらないだろう
今しかできない
チョイスもあるさ

どんな自分を守ってるのか?
純情の壁 壊すんだ
汚(けが)れなきものなんて
大人が求める幻想
どんな自分を守ってるのか?
僕は本気で好きなんだ
その意思はどこにある?
制服を着たマネキンよ

できないんじゃない　やってないだけさ
未来の扉　そこにあるのに
僕は何度も誘う
生まれ変わるのは君だ

僕にまかせろ

恋をするのはいけないことか?
僕の両手に飛び込めよ
若過ぎる　それだけで
大人に邪魔をさせない
恋をするのはいけないことか?
君の気持ちはわかってる
感情を隠したら
制服を着たマネキンだ

制服を着たマネキンだ",https://www.uta-net.com/song/139349/
6,君の名は希望,秋元康,杉山勝彦,有木竜郎;杉山勝彦,2015,透明な色,other,伊藤寧々;中田花奈;井上小百合;西野七瀬;若月佑美;深川麻衣;永島聖羅;高山一実;桜井玲香;橋本奈々未;白石麻衣;松村沙友理;秋元真夏;生田絵梨花;生駒里奈;星野みなみ,生駒里奈,"生田絵梨花,生駒里奈,星野みなみ|桜井玲香,橋本奈々未,白石麻衣,松村沙友理,秋元真夏|伊藤寧々,中田花奈,井上小百合,西野七瀬,若月佑美,深川麻衣,永島聖羅,高山一実","僕が君を初めて意識したのは
去年の6月　夏の服に着替えた頃","僕が君を初めて意識したのは
去年の6月　夏の服に着替えた頃
転がって来たボールを無視してたら
僕が拾うまで
こっちを見て待っていた

透明人間　そう呼ばれてた
僕の存在　気づいてくれたんだ

厚い雲の隙間に光が射して
グラウンドの上　僕にちゃんと影ができた
いつの日からか孤独に慣れていたけど
僕が拒否してた
この世界は美しい

こんなに誰かを恋しくなる
自分がいたなんて
想像もできなかったこと
未来はいつだって
新たなときめきと出会いの場
君の名前は“希望”と今　知った

わざと遠い場所から君を眺めた
だけど時々　その姿を見失った
24時間　心が空っぽで
僕は一人では
生きられなくなったんだ

孤独より居心地がいい
愛のそばでしあわせを感じた

人の群れに逃げ込み紛れてても
人生の意味を誰も教えてくれないだろう
悲しみの雨　打たれて足下を見た
土のその上に
そう確かに僕はいた

こんなに心が切なくなる
恋ってあるんだね
キラキラと輝いている
同(おんな)じ今日だって
僕らの足跡は続いてる
君の名前は“希望”と今　知った

もし君が振り向かなくても
その微笑みを僕は忘れない
どんな時も君がいることを
信じて　まっすぐ歩いて行こう

何(なん)にもわかっていないんだ
自分のことなんて
真実の叫びを聞こう
さあ
こんなに誰かを恋しくなる
自分がいたなんて
想像もできなかったこと
未来はいつだって
新たなときめきと出会いの場
君の名前は“希望”と今　知った

希望とは
明日(あす)の空
WOW WOW WOW",https://www.uta-net.com/song/143045/
7,ガールズルール,秋元康,後藤康二,後藤康二,2015,透明な色,other,伊藤万理華;井上小百合;中田花奈;若月佑美;星野みなみ;秋元真夏;深川麻衣;斉藤優里;桜井玲香;生田絵梨花;生駒里奈;西野七瀬;高山一実;松村沙友理;白石麻衣;橋本奈々未,白石麻衣,"松村沙友理,白石麻衣,橋本奈々未|桜井玲香,生田絵梨花,生駒里奈,西野七瀬,高山一実|伊藤万理華,井上小百合,中田花奈,若月佑美,星野みなみ,秋元真夏,深川麻衣,斉藤優里","海岸線を
バスは進む","海岸線を
バスは進む
空は高気圧
これが最後の夏だから
部活のメンバーと
思い出作りの合宿

全開にした窓から
潮風に乗って
波音が近づいて来る
バスタオルを巻き付けて
10秒で
水着に着替えよう

何でも
見せ合える仲じゃないか
1!2!3!
3!2!1!
女の子たちは
真夏に恋して
卒業して行く

ガールズルール
彼を好きになって
一緒にいつも
泣いたり
喜んでくれたね
ガールズルール
パパやママに言えない
秘密の話
いっぱいこの海に流したら
忘れよう
いつか(いつか)
今日を
思い出すまで

真っ白な砂浜
青い海の色
青春はセンチメンタル
水をかけて騒いでた
マーメイドから
サンダルが脱げちゃった

ゆらゆら
さざ波が運んで行く
待・っ・て!
もう少し!
男の子たちが
やって来るそれまで
私たちの夏

ガールズトーク
女の子同士は
嫌なとこまで
見せ合って
楽な関係になる
ガールズトーク
いくつ恋をしたら
そうなれるかな
可愛い自分だけ演じてたら
無理だね
もっと(もっと)
今日の
私のように

ガールズルール
彼を好きになって
一緒にいつも
泣いたり
喜んでくれたね
ガールズルール
パパやママに言えない
秘密の話
いっぱいこの海に流したら
忘れよう
いつか(いつか)
今日を
思い出すまで

ずっと(ずっと)
胸に
ガールズルール",https://www.uta-net.com/song/148420/
8,バレッタ,秋元康,サイトウヨシヒロ,若田部誠,2015,透明な色,other,伊藤万理華;衛藤美彩;齋藤飛鳥;秋元真夏;深川麻衣;中元日芽香;川後陽菜;高山一実;桜井玲香;生田絵梨花;生駒里奈;若月佑美;西野七瀬;白石麻衣;堀未央奈;橋本奈々未;松村沙友理,堀未央奈,"西野七瀬,白石麻衣,堀未央奈,橋本奈々未,松村沙友理|桜井玲香,生田絵梨花,生駒里奈,若月佑美|伊藤万理華,衛藤美彩,齋藤飛鳥,秋元真夏,深川麻衣,中元日芽香,川後陽菜,高山一実","バレッタ
君の髪","バレッタ
君の髪
大きな蝶が留まってる
バレッタ
羽根を立て
気づかれたくなくて
じっとしている
僕だ

図書室の窓際で
女子たちが声潜め
会議中
ヘミングウェイを読みながら
僕はチラ見した

唇のその動きを
頭の中でトレースして
さあ　ヒントを貰おうか?
偶然　目と目が合って
心を覗かれたように
もう　僕は白旗上げた

バレッタ
風の中
踊った髪を手で押さえ
バレッタ
太陽が
ああ眩しそうに
目を逸らしたのは
君だ

昆虫の図鑑には
きっと載っていないって
思ってた
妄想からロマンスが
ふいに　動き出す

君たちのその企み
状況証拠　並べて
さあ　推理してみようか?
男子でカッコいいのは
誰かと盛り上がってる
そう　僕の視線の先で…

バレッタ
君の髪
大きな蝶が留まってる
バレッタ
羽根を立て
気づかれたくなくて
じっとしている
僕だ

バレッタ
振り向いて
両手で髪を留めながら
バレッタ
君らしく
いたずらっぽい目で
微笑んだのは
なぜだ?

Lalalala…",https://www.uta-net.com/song/155753/
9,気づいたら片想い,秋元康,Akira Sunset,湯浅篤,2015,透明な色,other,川村真洋;北野日奈子;樋口日奈;秋元真夏;和田まあや;高山一実;桜井玲香;若月佑美;生田絵梨花;松村沙友理;深川麻衣;堀未央奈;白石麻衣;西野七瀬;橋本奈々未,西野七瀬,"堀未央奈,白石麻衣,西野七瀬,橋本奈々未|桜井玲香,若月佑美,生田絵梨花,松村沙友理,深川麻衣|川村真洋,北野日奈子,樋口日奈,秋元真夏,和田まあや,高山一実","気づいたら片想い
いつのまにか好きだった","気づいたら片想い
いつのまにか好きだった
あなたを思うその度
何だか切なくて…

人は生まれて何回の出会いがあるの？
今度こそ運命だなんていつも信じて
それでもなぜかすれ違って傷ついて
絶対　恋なんかするもんかとあれから決めていたのに…

紹介された時に興味ない振りをして
無愛想だったのは自分を守るためだった
誕生日もクリスマスもバレンタインデーも
一人でも過ごせる強さを
ようやく身につけたはず

(だめよ)あなたがどこにいるか気になるし
(無理よ)電話掛けて声を聴きたい
(嫌よ)あんなに苦しくてつらい日々
涙だって　もう枯れた今の私よ

気づいたら片想い
いつのまにか好きだった
あなたを思うその度
何だか切なくて…
気づいたら片想い
認めたくはないけど
強情になっている分
心は脆(もろ)いかも…

友達の一人だと思い込もうとして
無理に普通でいようとしてたら余計にぎこちない
あなたを紹介してくれた彼女のことまで
近づく異性に嫉妬して
あきれさせるでしょう

(ずっと)傷つかない唯一の方法は
(わざと)臆病でいることしかなくて
(だけど)でも自分に嘘はつけない
人混みの中　そうあなたを探していた

初めからわかってた
いつの日にか好きになる
あなたと目が合った時
本当は予感してた
初めからわかってた
特別な人だった
恋とは与えられるもの
決して抗(あらが)えない

感情を抑えても息が苦しくなる
こんなに好きなのに言葉にしたら消えそうで

気づいたら
気づいたら
気づいたら片想い
いつのまにか好きだった
あなたを思うその度
何だか切なくて…
気づいたら片想い
認めたくはないけど
強情になっている分
心は脆(もろ)いかも…

受け入れるしかないね",https://www.uta-net.com/song/161733/
10,夏のFree & Easy,秋元康,井上トモノリ,橋本幸太,2015,透明な色,other,衛藤美彩;井上小百合;斉藤優里;星野みなみ;大和里菜;堀未央奈;高山一実;若月佑美;秋元真夏;桜井玲香;深川麻衣;生駒里奈;松井玲奈;白石麻衣;西野七瀬;橋本奈々未;松村沙友理,西野七瀬,"松井玲奈,白石麻衣,西野七瀬,橋本奈々未,松村沙友理|若月佑美,秋元真夏,桜井玲香,深川麻衣,生駒里奈|衛藤美彩,井上小百合,斉藤優里,星野みなみ,大和里菜,堀未央奈,高山一実","夏だからやっちゃおう！
いつもなら躊躇してたことも","夏だからやっちゃおう！
いつもなら躊躇してたことも
太陽は許してくれる
Sunshine、Free & Easy

みんな積極的で
そう羨ましかった
自分の気持ちに素直になれる自由と
勇気

いくら彼が大好きでも
伝えなきゃわからない
恋のジレンマ

夏だからやっちゃおう！
心に貯めてたあれもこれも…
水着より開放的に…
さあ、ストレートに
夏だからやっちゃおう！
今まで躊躇してたことまで
太陽は許してくれる
Sunshine、Free & Easy

何かきっかけがあれば
誰でも変われるんだ
1年中で一番熱くなれる
シーズン

一人きりで悩むより
告白できることって
最高だよね

夏なんだ　楽しもう！
打ち上げ花火のように散っても…
全力で傷ついたって
悔い　残らない
夏なんだ　楽しもう！
臆病な自分よ生まれ変われ！
去年とはすべてが違う
Memories、新しい

夏だからやっちゃおう！
心に貯めてたあれもこれも…
水着より開放的に…
さあ、ストレートに
夏だからやっちゃおう！
今まで躊躇してたことまで
太陽は許してくれる
Sunshine、Free & Easy",https://www.uta-net.com/song/166044/
11,何度目の青空か？,秋元康,川浦正大,百石元,2015,透明な色,other,衛藤美彩;若月佑美;堀未央奈;星野みなみ;高山一実;斎藤ちはる;松村沙友理;秋元真夏;生駒里奈;桜井玲香;深川麻衣;松井玲奈;白石麻衣;生田絵梨花;西野七瀬,生田絵梨花,"松井玲奈,白石麻衣,生田絵梨花,西野七瀬|松村沙友理,秋元真夏,生駒里奈,桜井玲香,深川麻衣|衛藤美彩,若月佑美,堀未央奈,星野みなみ,高山一実,斎藤ちはる","校庭の端で反射してた
誰かが閉め忘れた蛇口","校庭の端で反射してた
誰かが閉め忘れた蛇口
大事なものがずっと
流れ落ちてるようで
風に耳を塞いでた

僕の心の片隅にも
出しっ放しの何かがあるよ
このままじゃいけないとそう気づいていたのに
見ないふりをしていたんだ

膨大な時間と
何だってできる可能性
自由はそこにある

何度目の青空か？
数えてはいないだろう
陽は沈みまた昇る
当たり前の毎日
何か忘れてる
何度目の青空か？
青春を見逃すな
夢中に生きていても
時には見上げてみよう
(晴れた空を)
今の自分を無駄にするな

蛇口の水に触れてみたら
その冷たさに目を覚ましたよ
ほとばしる水しぶき　与えられた命は
掌(てのひら)に重たかった

いつかやるつもりと
頭の中で思ってても
永遠は短い

何度目の青空か？
数えてはいないだろう
陽は沈みまた昇る
当たり前の毎日
何か忘れてる
何度目の青空か？
青春を見逃すな
夢中に生きていても
時には見上げてみよう
(晴れた空を)
今の自分を無駄にするな

目を閉じてみれば聴こえて来るだろう
君が出しっ放しにしてる音
僕らも空も晴れだけじゃない

この次の青空は
いつなのかわからない
だから今　空見上げ　何かを始めるんだ
今日できることを…
この次の青空は
自分から気づくだろう
涙が溢れてても
太陽は滲(にじ)まないさ
(ちゃんと見れば)
君はもっと強くなれるよ
今を生きるんだ
(時は流れても)
僕は流されない",https://www.uta-net.com/song/171157/
