song_id,title,lyricist,composer,arranger,release_year,release_title,release_type,members,center,formation_rows,opening_lyrics,full_lyrics,song_url
2,摩擦係数,秋元康,家原正樹;Giz'Mo(from Jam9),家原正樹,2022,As you know?,other,武元唯衣;上村莉菜;松田里奈;土生瑞穂;井上梨名;関有美子;大園玲;小池美波;菅井友香;守屋麗奈;小林由依;藤吉夏鈴;森田ひかる,森田ひかる;山﨑天,"藤吉夏鈴,森田ひかる|小池美波,菅井友香,守屋麗奈,小林由依|武元唯衣,上村莉菜,松田里奈,土生瑞穂,井上梨名,関有美子,大園玲","大人になるってのは　丸くなるってことだろう？
真剣にぶつかってたって　理解されはしない","大人になるってのは　丸くなるってことだろう？
真剣にぶつかってたって　理解されはしない
上手に他人(ひと)との距離を取れと
優等生は皆　勝ち組は今　わかったような口を利く

そんなふうに僕は感情　抑えられない
自分飼い慣らすことしたら僕じゃなくなる
「愚か者め　どうしたって　ただ損をするだけだって」
何を我慢するんだ？

そう
黙るってのは敗北だ
言いたいことを言ってやれ
「ただじっと睨んでたって」
何も伝わらない
そう
ムカついてるならムカついて
むしろそのまま不機嫌に
「さあ　自分晒すしかない」
殴るよりも殴られろ

言葉を飲み込むのは　絶対　体によくないんだ
胸のどこかにつっかえて　ムカムカしてくるよ
言いたいことは消えてなくならない
刺さっている棘(とげ)　自己嫌悪だけ
唾を吐き捨て立ち直るか

もう体裁なんかどうだって構わない
誰も見ちゃいないよ　自分のことで手一杯
「誰にとってカッコ悪い？自意識過剰って笑われるぜ」
好きにさせてもらおう

ほら
逃げないってのは始まりだ
面と向かって言いなよ
「背中見せちゃ　撃たれるだろう」
臆病者って…
ほら
怒りは生きてる証だ
縛られる社会のロープ
「さあ　引きちぎって自由になれ」
顔近づけてどうするのか？

このままで THE ENDか
ぶつかり合って　わかり合うしかないんだ
悪いけど　ほっとけない
もっともっと熱くなっちゃいけないか？
摩擦

そう
黙るってのは敗北だ
言いたいことを言ってやれ
「ただじっと睨んでたって」
何も伝わらない
そう
ムカついてるならムカついて
むしろそのまま不機嫌に
「さあ　自分晒すしかない」
殴るよりも殴られろ",https://www.uta-net.com/song/322688/
3,五月雨よ,秋元康,温詞,温詞;TomoLow,2022,As you know?,other,武元唯衣;松田里奈;井上梨名;土生瑞穂;関有美子;上村莉菜;大園玲;守屋麗奈;小池美波;渡邉理佐;小林由依;藤吉夏鈴;森田ひかる,山﨑天,"森田ひかる|守屋麗奈,小池美波,渡邉理佐,小林由依,藤吉夏鈴|武元唯衣,松田里奈,井上梨名,土生瑞穂,関有美子,上村莉菜,大園玲","五月雨よ　教えてくれ
曇り空に叫んでた","五月雨よ　教えてくれ
曇り空に叫んでた
止むつもりか　止まないのか
先のことはわからないまま
五月雨式に好きになってく

言葉にしてしまえば
楽かもしれないけれど
自分の方からなんて
絶対に言い出せない

はっきりとしないのは
天気も気持ちも同じ
風向き　どっちつかず
僕は友達のままでいい

だから心の内側で雨宿りして
雲の切れ間　太陽をここで待つ

五月雨よ　後から後から
愛おしさが　込み上げて来る
見上げたって変わらないのに
どこかに虹　期待してしまう
五月雨よ　切なくなる
“いつの日か”は　いつ来るんだ？
広げられない傘を持ってる
今すぐに会いに行くために…
どんな時も絶えることない永遠を
愛と信じてる

『止まない雨はない』
誰もがそういうけれど
本当にそうなのか？
君にどんどん惹かれてく

今このドアを開けるのか　諦めるのか
意気地なしの自分に問いかけてみる

苦しいよ　君を想うと
一方的で　息もできない
中途半端は嫌いだけど
どちらかに決められない
ずぶ濡れになってもいい
不安の中　飛び出すべきだ
その勇気が　僕にあったら
雨だって　きっと怯むだろう
何もせずに厚い雲に覆われていちゃ
君に伝わらない

Wow Wow…

小雨になった
止むかな

五月雨よ　後から後から
愛おしさが　込み上げて来る
見上げたって変わらないのに
どこかに虹　期待してしまう
五月雨よ　切なくなる
“いつの日か”は　いつ来るんだ？
広げられない傘を持ってる
今すぐに会いに行くために…
どんな時も絶えることない永遠を
愛と信じてる

答えなんか
出るわけない
それが恋だ

五月雨式に
降り続いてる
五月雨式に
好きになってく
雨よ　止むな",https://www.uta-net.com/song/317055/
4,僕のジレンマ,秋元康,TomoLow;中村泰輔,TomoLow;中村泰輔,2022,As you know?,other,武元唯衣;松田里奈;井上梨名;関有美子;上村莉菜;尾関梨香;齋藤冬優花;増本綺良;幸阪茉里乃;大沼晶保;遠藤光莉;藤吉夏鈴;守屋麗奈;土生瑞穂;原田葵;小池美波;大園玲;森田ひかる;小林由依;渡邉理佐;菅井友香,渡邉理佐,"森田ひかる,小林由依,渡邉理佐,菅井友香|藤吉夏鈴,守屋麗奈,土生瑞穂,原田葵,小池美波,大園玲|武元唯衣,松田里奈,井上梨名,関有美子,上村莉菜,尾関梨香,齋藤冬優花,増本綺良,幸阪茉里乃,大沼晶保,遠藤光莉","頬を掠(かす)めて吹き抜ける温度のある風が
世界をもう一周廻り　ここに戻って来るまで","頬を掠(かす)めて吹き抜ける温度のある風が
世界をもう一周廻り　ここに戻って来るまで
僕の決心は揺るがずにいられるのだろうか
夢を追う代償は　残酷に過ぎてく時間だ

何を捨てて　何を得るつもりか　答えが見えない
僕が僕でいるために　僕じゃなくなる

ジレンマ
今すぐに行かなきゃいけない
わかっているのに　足が動かないんだ
ジレンマ
でも君を　一人だけ
残して行けない　心が引き裂かれるくらい

人生で大切なのは　選択することだ
すべてを手に入れようなんて　虫がよすぎるってこと
幼い頃から見てた夢　叶うと信じて
一番近くの誰かが　かけがえない存在と気づく

「好きなんだ」

そんな僕の　身勝手なサヨナラでさえ　仕方ないねと
君にそっと微笑まれて　白旗揚(あ)げた

無理だよ
もう　僕は　どこへも行かない
優柔不断と　言われても構わない
無理だよ
どちらかを一つだけ
選べと言うならば　ここに残って後悔しよう

この世には何一つ　割り切れるものなんてない
生きるということは　ジタバタともがくこと
誰も迷うことなく　真っ直ぐは歩けない
わかるだろう

いくつもの寄り道しながら(いくつもの足跡をつけて)
いつの日にか自分の道を見つける

ジレンマ

ジレンマ
今すぐに行かなきゃいけない
わかっているのに　足が動かないんだ
ジレンマ
でも君を　一人だけ
残して行けない　心が引き裂かれるくらい

どっちへ進めばいいかわからない",https://www.uta-net.com/song/317054/
5,車間距離,秋元康,Toshikazu.K;Smile From The Streets,Smile From The Streets;Toshikazu.K,2022,As you know?,other,齋藤冬優花;幸阪茉里乃;尾関梨香;原田葵;増本綺良;大沼晶保;遠藤光莉;守屋麗奈;小池美波;小林由依;藤吉夏鈴;田村保乃;森田ひかる,森田ひかる,"田村保乃,森田ひかる|守屋麗奈,小池美波,小林由依,藤吉夏鈴|齋藤冬優花,幸阪茉里乃,尾関梨香,原田葵,増本綺良,大沼晶保,遠藤光莉","「Try me」
Oh Oh Oh Oh","「Try me」

Oh Oh Oh Oh
Oh Oh Oh Oh
Oh Oh Oh Oh

強引な車線変更　前方を遮られて
クラクション鳴らした夜は　心を試されてた

Ah　あなたのその気まぐれに振り回されたくない
真っ直ぐか　曲がるのか　それは私の判断
誘惑するテールライト　どんなに煽られたって
ただ冷静に　自分のペースで生きたいだけ

ハンドル握ってるのは　誰なのかわかってるから
インターチェンジ　ウィンカー出そうかと迷う

二人の車間距離　空けなきゃ
追突しちゃうわ　ハートが…
少し離れていたって
ジェラシー　ちょうどいいでしょう

目的地　一緒なら　そんなに近づかなくてもいい
あなたのこと見失わないよ

Oh Oh Oh Oh
Oh Oh Oh Oh
Oh Oh Oh Oh

自信過剰な生き方は何を根拠にしてるの？
アクセル踏み込むことでマウントを取ったつもり？

Ah　ハザード点滅させて　後続車両　止めて
これ以上　恋愛を走り続けられない
追いかけているばかりじゃ　私じゃなくなるようで
ライト　パッシング　何度かして警告してみよう

地図上の束縛は　標識が見えなくなる
好きなように解釈してくれればいいわ

そんなに車間距離　空けたら
他の車が割り込む
私の意思ではなくて
愛とはそういうものでしょう

そう全て　タイミング　気持ちを理解できても
ついて行くかは　行き先次第よ

ブレーキ何度踏めば　この気持ち伝わるのか
バックミラー　何かに気づいてくれるかな

どれだけ車間距離　空ければ
涙　流さずにいられる？
結局このまま走って
いい関係と気づくまで

二人の車間距離　空けなきゃ
追突しちゃうわ　ハートが…
少し離れていたって
ジェラシー　ちょうどいいでしょう

目的地　一緒なら　そんなに近づかなくてもいい
あなたのこと見失わないよ

「Just drive」",https://www.uta-net.com/song/317050/
6,制服の人魚,秋元康,三谷秀甫,三谷秀甫,2022,As you know?,other,守屋麗奈;森田ひかる;武元唯衣,,"守屋麗奈,森田ひかる,武元唯衣","Hoo！
Let's start this love tonight","Hoo！
Let's start this love tonight
こうしてちゃいられない

門限何時か聞かれたって
本音　建前　検討中
チラリ　スマホを覗いてから
う～んって迷ってるフリして
結局は　今日もオール
なんか　前髪決まらない
ムカつく夜もきっと
朝には機嫌　直ってる

学校は行かなきゃいけない　誰が決めたルール？
ちょっとズル休みしたって　迷惑かけてない
Say Hoo！ 身体(からだ)の力抜いて難しいこと忘れて
Say Hoo！ リズムに漂って　まるでお魚みたいに Oh

LEDの水槽の中　何だかいい気持ち
ずっと　時間が止まってる
大人になんかなりたくない
もう少し　ここにいさせてよ

制服の人魚　みんなにそう呼ばれてた
だっていつかあの海へと帰ってく
運命でしょ
全部脱ぎ捨てなきゃ　伝説にならないこと
自分だってわかってる
なんだかんだ
女子高生だもん

何にも期待してない
何にも期待してない
何にも期待してない
未来は深い海の底

知らない人たちばかり　叱られることもない
そんな温(ぬる)い世界が好き
背伸びなんかしてないよ
未成年　それは罪ですか？

制服が重い　やりたいことができない
だから早く着替えたいと思った
当然でしょ？

まだまだ家に帰らない
まだまだ家に帰らない
まだまだ家に帰らない
今だけ楽しければいい

こうしてちゃ
いられない
こうしてて
いいんだよ

「IDを見せてください」　チェックをされたって
誰が何　証明してくれるの？
だって私は私でしょ？
何もない　ただのTeenager

子供でもなくて　大人でもないなんてね
中途半端な存在が私よ
いけませんか？

制服の人魚　みんなにそう呼ばれてた
だっていつかあの海へと帰ってく
運命でしょ
全部脱ぎ捨てなきゃ　伝説にならないこと
自分だってわかってる
なんだかんだ
女子高生だもん

何にも期待してない
何にも期待してない
何にも期待してない
未来は深い海の底",https://www.uta-net.com/song/317051/
7,流れ弾,秋元康,デレク;ターナー,武藤星児,2022,As you know?,other,大園玲;松田里奈;小池美波;藤吉夏鈴;守屋麗奈;武元唯衣;菅井友香;渡辺梨加;渡邉理佐;小林由依;土生瑞穂;田村保乃,田村保乃,"田村保乃|菅井友香,渡辺梨加,渡邉理佐,小林由依,土生瑞穂|大園玲,松田里奈,小池美波,藤吉夏鈴,守屋麗奈,武元唯衣","どっから飛んで来た？流れ弾
知らない間に撃たれてた","どっから飛んで来た？流れ弾
知らない間に撃たれてた
Where did it shoot from？ STRAY BULLET
なぜだか心は血を流してた

Hey！ Guys！ Did you see that？
真っ黒なワンボックスカー
面白半分に
銃口を向けたのか？
動画　投稿中
どうせ　拡散中
とうとう　急上昇中
Like Like Like

普通に歩いてるだけでも
不都合な出来事　起きるなんて
それじゃあ生きてるだけだって
ああだのこうだの　貰い事故

(Woo woo...)
誰が？何のために？さあね Beats me！
火だるまになって　炎上！
(Wow wow wow wow wow)

今宵もどっかしらで　顔隠してリンチパーティー(リンチパーティー)
ターゲットにはなりませんように…
いい子でいますから　ねえ
こんなことしてたら　誰も彼も家から出ない(家から出ない)
語り合おう　見つめ合おう　愛がなくちゃ世界は終わる
イェーーイ！！

冗談じゃないよ　流れ弾
そんなこととは　無関係

Baby！ What did you say？
ヤバいナイトクラブで
ここだけのトークは
あいつがやったのか？
マジか？　特定中
嘘だろ？　逃走中
Oh My！　謝罪中
Dang！ Dang！ Dang！

その他大勢の中に紛れて
目立った弱者は袋叩き
さっきまでこっちにいたおまえも
あっちの側から　撃つのかい？

(Woo woo...)
だって…やらなかったら　きっと My turn
自分守るために放火魔
(Wow wow wow wow wow)

明日は明日で別の誰かと
エンドレスパーティー(エンドレスパーティー)
欠席裁判　開かれるなら
そりゃ　ツルむしかねえ I got it！
疑心暗鬼になって　誰もやめないチキンレースだ(チキンレースだ)
信じようよ　信じられようよ　信じ合わなきゃ世界は終わる
イェーーイ！！

どっから飛んで来た？流れ弾
知らない間に撃たれてた
Where did it shoot from？ STRAY BULLET
痛みは感じなかった

Wait a sec.
言いたいこと　言わせてくれ！　イェー！
(Wow wow wow wow wow)

ある日　ある場所で　敵対するチーム
呼ばれたパーティー(呼ばれたパーティー)
たった一つだけの　ルールを決めて…
『他人のことは言わない』
誰も彼も自分の事だけ語り合った(語り合った)
そうか　みんな　本当は　誰かに話しかけたかっただけなのか？
イェーーイ！！

今宵もどっかしらで　顔隠してリンチパーティー(リンチパーティー)
ターゲットにはなりませんように…
いい子でいますから　ねえ
こんなことしてたら　誰も彼も家から出ない(家から出ない)
語り合おう　見つめ合おう　愛がなくちゃ世界は終わる
イェーーイ！！

飛んで来なくなった流れ弾
窓の外なんか見ちゃいない
週末の夜の街にも
銃声は聴こえない",https://www.uta-net.com/song/309005/
8,Dead end,秋元康,加賀爪タッド;TomoLow,TomoLow,2022,As you know?,other,齋藤冬優花;増本綺良;井上梨名;原田葵;大沼晶保;遠藤光莉;菅井友香;渡辺梨加;渡邉理佐;小林由依;土生瑞穂;森田ひかる;田村保乃,森田ひかる,"森田ひかる,田村保乃|菅井友香,渡辺梨加,渡邉理佐,小林由依,土生瑞穂|齋藤冬優花,増本綺良,井上梨名,原田葵,大沼晶保,遠藤光莉","話したって　無駄な時間
見てるものが全く違う","話したって　無駄な時間
見てるものが全く違う
泣いてたってスルーでいい
理解なんて求めちゃいない

否定されたアイデンティティ
悲観的な大人たちへ
振り返って一言言う
安い愛を押し付けないで

シャッター閉まった地元の商店街
全力で走り抜けたら何がわかる？

「はあ　はあ」

行き止まり(Dead)　行き止まり(end)
世界にだって涯てはあるんだ
ここから(Dead)　どうする？(end)
目の前は真っ暗だ
行き止まり(Dead)　行き止まり(end)
壁だったら壊せるけれど
来た道(Dead)　戻るか？(end)
夢見て過ぎた時間(とき)
ここにいてもしょうがないさ
間違ってたのは自分だ
行き止まり(Dead)　行き止まり(end)
過去と未来　繋ぐ今をどう生きるか？

妥協なんてするものかと
抵抗しても同じ結果
遠回りをした分だけ
要注意の人物になる

職質受けても　何を答えればいい？
親にまで連絡されて　そこで“詰んだ”

「はあ　はあ」

終わりなら(Dead)　終わりなら(end)
次はどこで始まるんだろう？
この先(Dead)　どうなる？(end)
絶望の未来系
終わりなら(Dead)　終わりなら(end)
退場する出口を探せ！
続きは(Dead)　ないのか？(end)
失(な)くした現在地
何を待てばいいのだろう
夜明けまで　まだまだだ
終わりなら(Dead)　終わりなら(end)
眩しい日々巻き戻してやり直すか？

「やり直すか？」
どこへ逃げたって　どこにも道はない
右も左も塞がる壁

ネオンが切れてる寂(さび)れた裏通りを
ありえないダッシュしたのに疲れただけ

行き止まり(Dead)　行き止まり(end)
世界にだって涯てはあるんだ
ここから(Dead)　どうする？(end)
目の前は真っ暗だ
行き止まり(Dead)　行き止まり(end)
壁だったら壊せるけれど
来た道(Dead)　戻るか？(end)
夢見て過ぎた時間(とき)
ここにいてもしょうがないさ
間違ってたのは自分だ

行き止まり(Dead)　行き止まり(end)
前の壁を叩きながら
胸の奥で叫んでいる
過去と未来　繋ぐ今をどう生きるか？",https://www.uta-net.com/song/309004/
9,無言の宇宙,秋元康,barbora;TomoLow,TomoLow,2022,As you know?,other,関有美子;守屋茜;上村莉菜;尾関梨香;幸阪茉里乃;菅井友香;渡辺梨加;田村保乃;小林由依;土生瑞穂;渡邉理佐;森田ひかる,渡邉理佐,"渡邉理佐,森田ひかる|菅井友香,渡辺梨加,田村保乃,小林由依,土生瑞穂|関有美子,守屋茜,上村莉菜,尾関梨香,幸阪茉里乃","僕たちは　なぜここで見つめ合っているのかって
不思議なことだと今　改めて思ったかもしれない","僕たちは　なぜここで見つめ合っているのかって
不思議なことだと今　改めて思ったかもしれない
Can't explain
This feeling
偶然に弄(もてあそ)ばれて…
「理屈じゃないんだ」

広い世界には　多くの人がいるのに
同じ時間を共有するなんて
それを奇跡で片付けちゃうのは
もったいない勘違い

運命以上の
行き過ぎた感情
なぜだろう　なぜだろう
言葉なんかいらないって初めて気づいた

愛を少しでも語り始めてしまったら
“愛してる”　その真剣な気持ちは　も
心から漏れて行くものだ
知らぬうち　熱が逃げちゃうように
もうお互いに感じなくなる

客観的になって　ものを見るからだろう
大切なものが　なぜ大切なのか
考えたって何になる？
僕は(僕は)君を(君を)
理由なく好きだ

もしここで　どちらかが視界から消えたとしたって
どんな行動起こすか？想像してみればわかるよ
What's on your mind？
I wanna know
何時間も待ってるだろう
「必ず　帰って来る」

他の場所なんか　この世にあるわけない
探したりせず暇を潰してる
僕たちは永遠のその長さを
持て余しはしない

唯一の真実
あやふやな関係
無駄なこと　無駄なこと
口になんか出さなくたって想いは通じる

誰かに何かを打ち明けようとするより
黙ったままでいた方がいい
表情の中の宇宙には
意味を持って輝く星がある
その光を読み取って欲しくて…

情熱的に何度　アプローチされても
動かぬものは動かないだろう
話さなくていいんだ
君が(君が)僕を(僕を)
理解する日まで

Do you feel it？
In your senses

I know your voice
I know your touch

言語化しなくたって
全て伝わるんだ

言葉の多さが邪魔をする
会話なんて最小限で
恋人たちはいつも
ただ見つめ合うだけ
静寂は美しい
音が消えた世界は
愛の脈が打ち続ける鼓動が響く
瞼を閉じろ！

愛を少しでも語り始めてしまったら
“愛してる”　その真剣な気持ちは
心から漏(も)れて行くものだ
知らぬうち　熱が逃げちゃうように
もうお互いに感じなくなる

客観的になって　ものを見るからだろう
大切なものが　なぜ大切なのか
考えたって何になる？
僕は(僕は)君を(君を)
理由なく好きだ",https://www.uta-net.com/song/308999/
10,BAN,秋元康,A-NOTE;S-TONE,APAZZI,2022,As you know?,other,大園玲;井上梨名;松田里奈;守屋麗奈;渡辺梨加;土生瑞穂;田村保乃;小池美波;藤吉夏鈴;菅井友香;小林由依;森田ひかる,森田ひかる,"小林由依,森田ひかる|田村保乃,小池美波,藤吉夏鈴,菅井友香|大園玲,井上梨名,松田里奈,守屋麗奈,渡辺梨加,土生瑞穂","明け方までスマホで動画観てた
それじゃ起きられるわけがない","明け方までスマホで動画観てた
それじゃ起きられるわけがない
全てのことに遅刻して
今日もサボってしまった
カップ麺　お湯を注いで
「それなら寝てりゃよかった」
なんて　あくびしてたら麺が伸びた

何になりたい　何をやりたい
いつからだろう　夢を見てない
ずっと　ゲームしてるうちに
いつしか大人になってた
みんな　どこへ行ったんだ？
なんでそんな忙しいの？
ちょっと待ってよ

「時間はあんなにあったじゃないか」

人生の電源切られるように
僕だけ退場ってこと？

BANされても
禁止されても
ダメだって言われても
もう　今さら
違う自分に
なれるわけないじゃない？
BANされても
禁止されても
やめろって言われても
わかりました
改めますって
反省なんかしない
神様　何がいけないんですか？
どこがその基準なのか知りたい

いっぱいあった時間の砂は
何もしなくても消える
僕が　その気になったら
何でもできると舐めてた
ここで何をやってるんだ？
遊んでるのは僕一人
誰か教えてよ

「変わらないっていけないことなの？」

いきなりそう一方的に
未来を失格にされた

BANされたら
どうすればいい？
知らなかっただけなんだ
もう一回くらい
やり直すために
チャンス与えてくれよ
BANされたら
どうすればいい？
見捨てるつもりなのか？
若さってのは
失敗のための
猶予って信じてた
神様　過ちを許してください
急にそんな宣告するなんて…

眩しすぎる太陽が
カーテンの裾から漏れる
暗闇が来るまでには
まだ間に合うだろう

BANされても
禁止されても
ダメだって言われても
もう　今さら
違う自分に
なれるわけないじゃない？
BANされても
禁止されても
やめろって言われても
わかりました
改めますって
反省なんかしない
神様　何がいけないんですか？
どこがその基準なのか知りたい

どんな状況に追い込まれても
僕は絶対BANされるものか",https://www.uta-net.com/song/300787/
11,偶然の答え,秋元康,YU-JIN,TomoLow,2022,As you know?,other,尾関梨香;関有美子;原田葵;上村莉菜;武元唯衣;田村保乃;小池美波;森田ひかる;菅井友香;小林由依;藤吉夏鈴;渡邉理佐,藤吉夏鈴,"小林由依,藤吉夏鈴,渡邉理佐|田村保乃,小池美波,森田ひかる,菅井友香|尾関梨香,関有美子,原田葵,上村莉菜,武元唯衣","絶対　運命だって　僕が確信したのは
あんな人混みの中で君とばったり会ったこと","絶対　運命だって　僕が確信したのは
あんな人混みの中で君とばったり会ったこと
渋谷に出かけるなんて滅多にない僕なのに
あの日の予定変更して　一人で行ったんだ

Wow...

スペイン坂を降りて　帰ろうと思った時
階段を登って来た君と目が合った

僕たちはなぜだか　笑ってしまったね

「何でここにいるの？」お互いに驚いて
偶然の確率　計算しても答えは出ない
待ち合わせたって　会えないことがある
それなのに　何か不思議な力に(引き寄せられて)
自分のその秘密に気づかされる

Wow...

センター街の方へ　二人で歩きながら
もし誰かに見られたら誤解されちゃうね

唐突に思ったよ　冷やかされたいって…

ここで会ったことに　きっと意味があるんだ
偶然はいつでも何かの答え教えてくれる
思っていたって言い出せないことばかり
でも今日だけはどこか違う(僕じゃない僕)
どこからか勇気が出て来るんだ

どうせならば僕たちはこのまま
付き合っちゃってもいいよねなんて
冗談っぽく言葉にはしてみたけど　どうなんだろう？
君が頷いて見えたよ　それは本気なのかな
この次会えるのは　必然であって欲しい

何でここに

「何でここにいるの？」お互いに驚いて
偶然の確率　計算しても答えは出ない
待ち合わせたって　会えないことがある
それなのに　何か不思議な力に(引き寄せられて)
自分のその秘密に気づかされる",https://www.uta-net.com/song/300786/
