song_id,title,lyricist,composer,arranger,opening_lyrics,full_lyrics,song_url
387895,サンダルだぜ,秋元康,伊東大和,伊東大和・DjeDje,ねえ　あっという間ね　時間(とき)が経つスピード　早いと思わない？　もう　春も終わるよ　桜　散る度(たび)　歳を取って行く　　私たちも　もっと焦(あせ)らなくちゃ　何もせぬまま流されて　生きていちゃダメかも　　サンダルだぜ　素足で夏を待とうよ　もっと自由になれるはず　サンダルだぜ　これなら海に行けるじゃない？　あなたに誘われたって　いつでもOK　期待してる　　そう　恋をするには　準備だって　絶対　必要だ　　アスファルトに日向が続いてる　昨日よりも暖かい　そよ風が気持ちいいよ　　サンダルって　なぜか心　軽くなる　本当の自分でいられるんだ　サンダルって　何も身構えなくていい　もし脱げてしまっても気にしない　私らしく　　ほんのちょっぴり　足下　涼しくたって　あと少しで夏がやって来る　だから私は　先取りしたくなるよ　今年の水着　選んだら　お誘いを待っています　　サンダルだぜ　素足で夏を待とうよ　もっと自由になれるはず　サンダルだぜ　これなら海に行けるじゃない？　あなたに誘われたって　いつでもOK　期待してる,"ねえ　あっという間ね
時間(とき)が経つスピード　早いと思わない？
もう　春も終わるよ
桜　散る度(たび)　歳を取って行く

私たちも　もっと焦(あせ)らなくちゃ
何もせぬまま流されて
生きていちゃダメかも

サンダルだぜ
素足で夏を待とうよ
もっと自由になれるはず
サンダルだぜ
これなら海に行けるじゃない？
あなたに誘われたって　いつでもOK
期待してる

そう　恋をするには
準備だって　絶対　必要だ

アスファルトに日向が続いてる
昨日よりも暖かい
そよ風が気持ちいいよ

サンダルって
なぜか心　軽くなる
本当の自分でいられるんだ
サンダルって
何も身構えなくていい
もし脱げてしまっても気にしない
私らしく

ほんのちょっぴり
足下　涼しくたって
あと少しで夏がやって来る
だから私は
先取りしたくなるよ
今年の水着　選んだら
お誘いを待っています

サンダルだぜ
素足で夏を待とうよ
もっと自由になれるはず
サンダルだぜ
これなら海に行けるじゃない？
あなたに誘われたって　いつでもOK
期待してる",https://www.uta-net.com/song/387895/
129470,アイシテラブル！,秋元康,小澤正澄,小澤正澄,アイ・ラブ・ユー!　アイ・シテ・ル!　　海岸線をレースのように　真っ赤なオープンカーが走る　ハンドル握る Oh～サングラスガール　こっちを向いて冷やかす　　見つめ合う2人が　キスをしようとして　ふとまわりに気づく　まさか(まさか)　みんな　大注目!　　叫べ!アイ・ラブ・ユー!　もっと大声で　アイ・シテ・ル!　恋人よ　太陽以上に　熱くなれ!　叫べ!アイ・ラブ・ユー!　分け合いたいんだ　アイ・シテ・ル!　この気持ち　ごちゃごちゃ混ざって　アイシテラブル!　　アイ・ラブ・ユー!　アイ・シテ・ル!　　貸しボート屋が羨ましそう　仲がよすぎる僕らにアハハン　ボードウォークをいちゃいちゃしてたら　ソフトクリームも溶けちゃう　　夏に生まれた恋　長く続かないって　大人たちの意見　だけど(だけど)　きっと　予想外　　ここで!アイ・ラブ・ユー!　オーバーアクションでアイ・シテ・ル!　照れないで!　どれくらい本気か　見せつけろ!　ここで!アイ・ラブ・ユー!　あうんの呼吸でアイ・シテ・ル!　真実は　まとまりきらない　アイシテラブル!　　叫べ!アイ・ラブ・ユー!　もっと大声で　アイ・シテ・ル!　恋人よ　太陽以上に　熱くなれ!　叫べ!アイ・ラブ・ユー!　世界で一番　アイ・シテ・ル!　愛しさを　同時に伝えて　アイシテラブル!　　アイ・ラブ・ユー!　アイ・シテ・ル!,"アイ・ラブ・ユー!
アイ・シテ・ル!

海岸線をレースのように
真っ赤なオープンカーが走る
ハンドル握る Oh～サングラスガール
こっちを向いて冷やかす

見つめ合う2人が
キスをしようとして
ふとまわりに気づく
まさか(まさか)
みんな　大注目!

叫べ!アイ・ラブ・ユー!
もっと大声で　アイ・シテ・ル!
恋人よ
太陽以上に
熱くなれ!
叫べ!アイ・ラブ・ユー!
分け合いたいんだ　アイ・シテ・ル!
この気持ち
ごちゃごちゃ混ざって
アイシテラブル!

アイ・ラブ・ユー!
アイ・シテ・ル!

貸しボート屋が羨ましそう
仲がよすぎる僕らにアハハン
ボードウォークをいちゃいちゃしてたら
ソフトクリームも溶けちゃう

夏に生まれた恋
長く続かないって
大人たちの意見
だけど(だけど)
きっと　予想外

ここで!アイ・ラブ・ユー!
オーバーアクションでアイ・シテ・ル!
照れないで!
どれくらい本気か
見せつけろ!
ここで!アイ・ラブ・ユー!
あうんの呼吸でアイ・シテ・ル!
真実は
まとまりきらない
アイシテラブル!

叫べ!アイ・ラブ・ユー!
もっと大声で　アイ・シテ・ル!
恋人よ
太陽以上に
熱くなれ!
叫べ!アイ・ラブ・ユー!
世界で一番　アイ・シテ・ル!
愛しさを
同時に伝えて
アイシテラブル!

アイ・ラブ・ユー!
アイ・シテ・ル!",https://www.uta-net.com/song/129470/
108738,愛の数,秋元康,重永亮介,野中“まさ”雄一,WOW  WOW　WOW  WOW　WOW  WOW　WOW  WOW  WOW  WOW　　緑の丘を風が上れば　陽射しの道がそこに広がる　僕たちは知らない地図がまだある　　生まれた時に誰もが　叫ぶように泣いて　きっと仲間のために　一人じゃないこと伝える　　人間(ひと)の数だけ　愛があるんだ　世界は愛に溢れているよ　誰かの悲しみはみんなで分けよう　　WOW  WOW　WOW  WOW　WOW  WOW　WOW  WOW  WOW  WOW　　夕陽の針が滑り降りたら　涙を拭いて家に帰ろう　僕たちの命は明日も続く　　この掌は誰かと　手と手　繋ぐために　とても柔らかいんだ　傷つけたりしないように…　　人間の数だけ　暖かくなる　世界は大きな毛布の中　心が寒いなら抱きしめてあげる　　夜空を見上げてごらん　いっぱい星があるよ　たった一つだけでは　こんなに美しくないさ　　人間(ひと)の数だけ　愛があるんだ　世界は愛に溢れているよ　誰かの悲しみはみんなで分けよう　　人間の数だけ　暖かくなる　世界は大きな毛布の中　心が寒いなら抱きしめてあげる　　WOW  WOW　WOW  WOW　WOW  WOW　WOW  WOW  WOW  WOW,"WOW  WOW
WOW  WOW
WOW  WOW
WOW  WOW  WOW  WOW

緑の丘を風が上れば
陽射しの道がそこに広がる
僕たちは知らない地図がまだある

生まれた時に誰もが
叫ぶように泣いて
きっと仲間のために
一人じゃないこと伝える

人間(ひと)の数だけ
愛があるんだ
世界は愛に溢れているよ
誰かの悲しみはみんなで分けよう

WOW  WOW
WOW  WOW
WOW  WOW
WOW  WOW  WOW  WOW

夕陽の針が滑り降りたら
涙を拭いて家に帰ろう
僕たちの命は明日も続く

この掌は誰かと
手と手　繋ぐために
とても柔らかいんだ
傷つけたりしないように…

人間の数だけ
暖かくなる
世界は大きな毛布の中
心が寒いなら抱きしめてあげる

夜空を見上げてごらん
いっぱい星があるよ
たった一つだけでは
こんなに美しくないさ

人間(ひと)の数だけ
愛があるんだ
世界は愛に溢れているよ
誰かの悲しみはみんなで分けよう

人間の数だけ
暖かくなる
世界は大きな毛布の中
心が寒いなら抱きしめてあげる

WOW  WOW
WOW  WOW
WOW  WOW
WOW  WOW  WOW  WOW",https://www.uta-net.com/song/108738/
224608,愛のために何を捨てる？,秋元康,斉門,若田部誠,愛しているなら　今ここで証明して　愛していたって　言葉だけじゃ　信じられない　　月の雫　払うように抱きしめて　当たり前に　接吻(くちづけ)するけど…　　おまえが大切なものを　私のために捨てられるか？　痛みを感じた分だけ　本気　伝わるはず　Make up your mind！　Make up your mind！　　唯一のものなら　その命をかけて見せろ　唯一じゃないなら　関わるな　付き合いきれない　　星の光　飾りだけの偽り　聴こえやしない　遠くの囁き　　おまえが信じてるものを　女のために裏切れるか？　未来で後悔するくらい　今を生きてみたい　Make up your mind！　　長い夜は　暗い闇の鏡だ　見えないもの　見えて来るだろう　　おまえが大切なものを　私のために捨てられるか？　痛みを感じた分だけ　本気　伝わるはず　Make up your mind！　Make up your mind！,"愛しているなら
今ここで証明して
愛していたって
言葉だけじゃ
信じられない

月の雫
払うように抱きしめて
当たり前に
接吻(くちづけ)するけど…

おまえが大切なものを
私のために捨てられるか？
痛みを感じた分だけ
本気　伝わるはず
Make up your mind！
Make up your mind！

唯一のものなら
その命をかけて見せろ
唯一じゃないなら
関わるな
付き合いきれない

星の光
飾りだけの偽り
聴こえやしない
遠くの囁き

おまえが信じてるものを
女のために裏切れるか？
未来で後悔するくらい
今を生きてみたい
Make up your mind！

長い夜は
暗い闇の鏡だ
見えないもの
見えて来るだろう

おまえが大切なものを
私のために捨てられるか？
痛みを感じた分だけ
本気　伝わるはず
Make up your mind！
Make up your mind！",https://www.uta-net.com/song/224608/
350945,愛のホログラム,秋元康,Shota Kamatani,AYOUNG,TOKYOはホログラムみたいで　街灯りも現実感がないよ(光と影)　知らぬ間に　雨が降り出して　雫が頬に触れた時　冷たかった　　人の波は　どこへと流れて行くのだろうか？　自分の意思じゃなく　流されたい　　君がいないなら　こんな世界は何も面白くない　目に見えるものの全ての色を失った　僕の人生　照らしてたのは　君という名の太陽　愛は暗闇の中でも　確かに生きているのに…　　人はなぜ　孤独を怖がり　誘蛾灯を目指してしまうのだろう(群れを求め)　肩先が濡れ始めてから　傘を差してない自分に気づいたのさ　　夜の空は　月とか星とか見えるはずもなく　期待できないとわかったんだ　　君がいてくれたら　どんな日々でも　もっと明るくなれる　バラ色の世界　僕にはそう見えるだろう　始発電車が動き出すまで　アスファルトを歩こう　同じような景色の中　記憶を置き忘れたい　　雨はいつ止むのか？　夜明けはいつやって来るか？　どっちが先だって　愛は消えない　　君がいないなら　こんな世界は何も面白くない　目に見えるものの全ての色を失った　僕の人生　照らしてたのは　君という名の太陽　愛は暗闇の中でも　確かに生きているのに…,"TOKYOはホログラムみたいで
街灯りも現実感がないよ(光と影)
知らぬ間に　雨が降り出して
雫が頬に触れた時　冷たかった

人の波は　どこへと流れて行くのだろうか？
自分の意思じゃなく　流されたい

君がいないなら　こんな世界は何も面白くない
目に見えるものの全ての色を失った
僕の人生　照らしてたのは　君という名の太陽
愛は暗闇の中でも　確かに生きているのに…

人はなぜ　孤独を怖がり
誘蛾灯を目指してしまうのだろう(群れを求め)
肩先が濡れ始めてから
傘を差してない自分に気づいたのさ

夜の空は　月とか星とか見えるはずもなく
期待できないとわかったんだ

君がいてくれたら　どんな日々でも　もっと明るくなれる
バラ色の世界　僕にはそう見えるだろう
始発電車が動き出すまで　アスファルトを歩こう
同じような景色の中　記憶を置き忘れたい

雨はいつ止むのか？　夜明けはいつやって来るか？
どっちが先だって　愛は消えない

君がいないなら　こんな世界は何も面白くない
目に見えるものの全ての色を失った
僕の人生　照らしてたのは　君という名の太陽
愛は暗闇の中でも　確かに生きているのに…",https://www.uta-net.com/song/350945/
245623,愛の喪明け,秋元康,シライシ紗トリ,シライシ紗トリ,見つめ合って loving　惹かれて行く trap　言葉じゃなく feeling　そんなに愛に飢えてたか？愛に飢えてたか？　Oh！ Yeah！　ベスト過ぎる timing　ちょうどよかったんだ　君と会って happen　そろそろ恋をしようか　恋をしようか　Oh！ Yeah！　　だって一人じゃ　そうさ　一人じゃつまらないんじゃない　だっていつだって自分のそばに誰かがいたからね　だって誰かがいなきゃドキドキなんかしないんじゃない　だから　そんな(こんな)わけで(ノリで)キスしよう　　No problem！　　やっと喪が明けたよ　彼女と別れた日から　オーウェーオーウェーオー　オーウェーオーウェーオー　そりゃそれなりに悲しかったし　やっと喪が明けたよ　ずっと大人しくしてたんだ　オーウェーオーウェーオー　オーウェーオーウェーオー　二度と恋なんてしないと思ってた　それでも…　オーウェーオーウェーオー　オーウェーオーウェーオー　性懲りも無くFUNK　　感情なんて moving　あっという間に up　思い出まで losing　あんなに燃えていられない　燃えていられない　Oh！ Yeah！　忘れ方を choosing　何(なん)か上書きしなきゃ…　次の恋で done　ようやく前向けるぜ　前向けるぜ　Oh！ Yeah！　　ちゃんと今度は　多分　今度はうまく行くんじゃない　ちゃんと準備して誰かのためにやさしくなれるしね　ちゃんと覚悟がなけりゃしあわせになんかできないんじゃない　もっと　強く(腕に)抱いて(ぎゅっと)守りたい　　こっち来いよ　　ずっと喪に服して　この身を慎んで来た　オーウェーオーウェーオー　オーウェーオーウェーオー　ここでがっついてまた始めようか　ずっと喪に服して　まさかじっとしていたなんて…　オーウェーオーウェーオー　オーウェーオーウェーオー　あんなロマンスができたらいいのにね　いつかは…　オーウェーオーウェーオー　オーウェーオーウェーオー　もう一度だけFUNK　　マジで　これで(終わり)これが(区切り)リセット　　No problem！　　やっと喪が明けたよ　彼女と別れた日から　オーウェーオーウェーオー　オーウェーオーウェーオー　そりゃそれなりに悲しかったし　やっと喪が明けたよ　ずっと大人しくしてたんだ　オーウェーオーウェーオー　オーウェーオーウェーオー　二度と恋なんてしないと思ってた　それでも…　オーウェーオーウェーオー　オーウェーオーウェーオー　性懲りも無くFUNK,"見つめ合って loving
惹かれて行く trap
言葉じゃなく feeling
そんなに愛に飢えてたか？愛に飢えてたか？　Oh！ Yeah！
ベスト過ぎる timing
ちょうどよかったんだ
君と会って happen
そろそろ恋をしようか　恋をしようか　Oh！ Yeah！

だって一人じゃ　そうさ　一人じゃつまらないんじゃない
だっていつだって自分のそばに誰かがいたからね
だって誰かがいなきゃドキドキなんかしないんじゃない
だから　そんな(こんな)わけで(ノリで)キスしよう

No problem！

やっと喪が明けたよ
彼女と別れた日から
オーウェーオーウェーオー
オーウェーオーウェーオー
そりゃそれなりに悲しかったし
やっと喪が明けたよ
ずっと大人しくしてたんだ
オーウェーオーウェーオー
オーウェーオーウェーオー
二度と恋なんてしないと思ってた
それでも…
オーウェーオーウェーオー
オーウェーオーウェーオー
性懲りも無くFUNK

感情なんて moving
あっという間に up
思い出まで losing
あんなに燃えていられない　燃えていられない　Oh！ Yeah！
忘れ方を choosing
何(なん)か上書きしなきゃ…
次の恋で done
ようやく前向けるぜ　前向けるぜ　Oh！ Yeah！

ちゃんと今度は　多分　今度はうまく行くんじゃない
ちゃんと準備して誰かのためにやさしくなれるしね
ちゃんと覚悟がなけりゃしあわせになんかできないんじゃない
もっと　強く(腕に)抱いて(ぎゅっと)守りたい

こっち来いよ

ずっと喪に服して
この身を慎んで来た
オーウェーオーウェーオー
オーウェーオーウェーオー
ここでがっついてまた始めようか
ずっと喪に服して
まさかじっとしていたなんて…
オーウェーオーウェーオー
オーウェーオーウェーオー
あんなロマンスができたらいいのにね
いつかは…
オーウェーオーウェーオー
オーウェーオーウェーオー
もう一度だけFUNK

マジで　これで(終わり)これが(区切り)リセット

No problem！

やっと喪が明けたよ
彼女と別れた日から
オーウェーオーウェーオー
オーウェーオーウェーオー
そりゃそれなりに悲しかったし
やっと喪が明けたよ
ずっと大人しくしてたんだ
オーウェーオーウェーオー
オーウェーオーウェーオー
二度と恋なんてしないと思ってた
それでも…
オーウェーオーウェーオー
オーウェーオーウェーオー
性懲りも無くFUNK",https://www.uta-net.com/song/245623/
91322,青空片想い,秋元康,島崎貴光,野中“まさ”雄一,制服の君が　今　春の風に髪揺らし　いつもの坂道を　一人で走って来る　偶然を装ったすれ違いの一瞬に　切なくときめいて心臓が止まりそうだよ　　名前も知らない野花(のばな)に惹かれて　手折(たお)ることもなく　遠くから眺めてる　このまま枯れずに咲けばいい　　青空片想い　恋は空の下で生まれるんだ　芽生えた愛しさは　太陽が育てる　青空片想い　心に日向があるように　君と会えるそれだけで　しあわせになれるよ　僕は君が好きだ　大好きだ　　悲しげな君が　もし　下を向いて歩いてたら　僕まで落ち込んで　気持ちが暗くなるよ　通り過ぎる瞬間に　声に出さず励まそう　明日は微笑んで　坂道を登って欲しい　　朝露みたいに瞳が濡れても　僕はいつだって　ここにいて盾になる　味方の一人でいるから　　誓いは片想い　君は知らなくても構わない　誰かの眼差しは　なぜだか暖かい　誓いは片想い　何(なん)にも求めてなんかない　めぐり逢ったその奇跡が　僕には宝物さ　君は君のままで　大好きだ　　青空片想い　恋は空の下で生まれるんだ　芽生えた愛しさは　太陽が育てる　青空片想い　心に日向があるように　君と会えるそれだけで　しあわせになれるよ　　青空片想い　僕は君の空になりたい　見守っていること　気づかなくていいよ　青空片想い　見上げてくれなくてもいい　君のことはいつだって　僕から見えてるから　君とすれ違って…　愛の意味を知った　ありがとう,"制服の君が　今　春の風に髪揺らし
いつもの坂道を　一人で走って来る
偶然を装ったすれ違いの一瞬に
切なくときめいて心臓が止まりそうだよ

名前も知らない野花(のばな)に惹かれて
手折(たお)ることもなく　遠くから眺めてる
このまま枯れずに咲けばいい

青空片想い
恋は空の下で生まれるんだ
芽生えた愛しさは
太陽が育てる
青空片想い
心に日向があるように
君と会えるそれだけで
しあわせになれるよ
僕は君が好きだ
大好きだ

悲しげな君が　もし　下を向いて歩いてたら
僕まで落ち込んで　気持ちが暗くなるよ
通り過ぎる瞬間に　声に出さず励まそう
明日は微笑んで　坂道を登って欲しい

朝露みたいに瞳が濡れても
僕はいつだって　ここにいて盾になる
味方の一人でいるから

誓いは片想い
君は知らなくても構わない
誰かの眼差しは
なぜだか暖かい
誓いは片想い
何(なん)にも求めてなんかない
めぐり逢ったその奇跡が
僕には宝物さ
君は君のままで
大好きだ

青空片想い
恋は空の下で生まれるんだ
芽生えた愛しさは
太陽が育てる
青空片想い
心に日向があるように
君と会えるそれだけで
しあわせになれるよ

青空片想い
僕は君の空になりたい
見守っていること
気づかなくていいよ
青空片想い
見上げてくれなくてもいい
君のことはいつだって
僕から見えてるから
君とすれ違って…
愛の意味を知った
ありがとう",https://www.uta-net.com/song/91322/
307417,あの頃の君を見つけた,秋元康,デレク・ターナー,武藤星児,懐かしい木漏れ日が揺れる通学路に　夏の制服が似合う後輩たち　自転車を押して歩いた距離が青春だと　いつか気づくのだろう　　すぐ近くに好きな彼女がいたって　思い伝えて気まずくなるくらいなら　友達で　　あの頃の君を見つけたんだ　(知らぬ間に目で追ってた)　どこが似ているのだろうと考えてみたけど　ルックスが似ているわけじゃなくて　切なさ　僕の初めての恋は　「今だって好きだ」AH- AH　　真っ白な半袖のシャツが眩(まぶ)しいのは　太陽のせいじゃなくて　その若さだ　これから何でもできる未来はいつだって　輝いて見えるよ　　リュックサックが少しずつ軽くなって　卒業までの時間はないんだって　気づくのさ　　目の前の君は一瞬だ　(幻だったかのように)　すぐにもう会えない思い出に変わってしまうよ　気持ち伝えておくべきじゃないか　ダメでも…　どんな片思いだって　「永遠に好きだ」AH- AH　　なぜか　頑張れって　声を掛けたくなった　少し離れてる彼は僕みたいに　君を遠くで思うだけか　　あの頃の君を見つけたんだ　(知らぬ間に目で追ってた)　どこが似ているのだろうと考えてみたけど　ルックスが似ているわけじゃなくて　切なさ　僕の初めての恋は　「今だって好きだ」AH- AH　　誰にもあるだろう　君と歩いた道　どこかでよく似た人　見かけたあの通学路　AH- AH,"懐かしい木漏れ日が揺れる通学路に
夏の制服が似合う後輩たち
自転車を押して歩いた距離が青春だと
いつか気づくのだろう

すぐ近くに好きな彼女がいたって
思い伝えて気まずくなるくらいなら
友達で

あの頃の君を見つけたんだ
(知らぬ間に目で追ってた)
どこが似ているのだろうと考えてみたけど
ルックスが似ているわけじゃなくて　切なさ
僕の初めての恋は
「今だって好きだ」AH- AH

真っ白な半袖のシャツが眩(まぶ)しいのは
太陽のせいじゃなくて　その若さだ
これから何でもできる未来はいつだって
輝いて見えるよ

リュックサックが少しずつ軽くなって
卒業までの時間はないんだって
気づくのさ

目の前の君は一瞬だ
(幻だったかのように)
すぐにもう会えない思い出に変わってしまうよ
気持ち伝えておくべきじゃないか　ダメでも…
どんな片思いだって
「永遠に好きだ」AH- AH

なぜか　頑張れって
声を掛けたくなった
少し離れてる彼は僕みたいに
君を遠くで思うだけか

あの頃の君を見つけたんだ
(知らぬ間に目で追ってた)
どこが似ているのだろうと考えてみたけど
ルックスが似ているわけじゃなくて　切なさ
僕の初めての恋は
「今だって好きだ」AH- AH

誰にもあるだろう　君と歩いた道
どこかでよく似た人　見かけたあの通学路　AH- AH",https://www.uta-net.com/song/307417/
90474,雨のピアニスト,秋元康,吉冨小百合,,雨のピアニストが　愛を弾いているわ　ビルの街に　奏でる哀しいメロディー　窓の鍵盤を　叩く滴の指　私だけのコンチェルト　　やさしい言葉で　切り出すサヨナラ　突然過ぎて…　ソファーの端っこ　黙ってしまった　私は爪を噛む　　「君にはもっといい人がいるよ」と　眼差しの“子ども扱い”は　巡り合って　怯え続けた　運命の未来形　　雨のピアニストが　そっと弾き始めた　いつか聞いた　ショパンの「別れの曲」　涙 ポロンポロン　頬を拭いながら　胸の奥に　B.G.M.　　背中を向けたり　冷たくされたら　あきらめられた　大人のあなたは　いつもの笑顔で　私に諭すだけ　　「悪いのは僕だ」なんて言うけれど　恋愛は2人でしたもの　こんな時は どうすればいいの?　初めての経験に…　　雨のピアニストが　愛を弾いているわ　ビルの街に　奏でる哀しいメロディー　窓の鍵盤を　叩く滴の指　私だけのコンチェルト　　雨のピアニストが　そっと弾き始めた　いつか聞いた　ショパンの「別れの曲」　涙 ポロンポロン　頬を拭いながら　胸の奥に　B.G.M.　違う曲を　弾いて…,"雨のピアニストが
愛を弾いているわ
ビルの街に
奏でる哀しいメロディー
窓の鍵盤を
叩く滴の指
私だけのコンチェルト

やさしい言葉で
切り出すサヨナラ
突然過ぎて…
ソファーの端っこ
黙ってしまった
私は爪を噛む

「君にはもっといい人がいるよ」と
眼差しの“子ども扱い”は
巡り合って
怯え続けた
運命の未来形

雨のピアニストが
そっと弾き始めた
いつか聞いた
ショパンの「別れの曲」
涙 ポロンポロン
頬を拭いながら
胸の奥に
B.G.M.

背中を向けたり
冷たくされたら
あきらめられた
大人のあなたは
いつもの笑顔で
私に諭すだけ

「悪いのは僕だ」なんて言うけれど
恋愛は2人でしたもの
こんな時は どうすればいいの?
初めての経験に…

雨のピアニストが
愛を弾いているわ
ビルの街に
奏でる哀しいメロディー
窓の鍵盤を
叩く滴の指
私だけのコンチェルト

雨のピアニストが
そっと弾き始めた
いつか聞いた
ショパンの「別れの曲」
涙 ポロンポロン
頬を拭いながら
胸の奥に
B.G.M.
違う曲を
弾いて…",https://www.uta-net.com/song/90474/
232712,意外にマンゴー,秋元康,原田雄一,APAZZI,Splash　青い海の中　Splash　僕は飛び込んだ　Splash　夏の日差しに　背中を灼き過ぎた　Splash　そばにいるだけで　Splash　意識してしまう　Splash　君の水着が　去年より小さくて…　　恋はあれから急に　成長したのか　変な意味じゃなくてハッとしたんだ　　意外にマンゴー(意外にマンゴー)　ロマンスは早すぎる(まだまだ待たなきゃ)　保護してマンゴー(瑞々しい)　清純果実　いつの日にか(いつの日にか)　大人になったら　君のことが　好きだと言いたい　　Breeze　光る水面(みなも)から　Breeze　顔を出した時　Breeze　君が偶然　こっちを眺めてた　Breeze　ふいに目が合って　Breeze　微笑んでくれた　Breeze　なんか切ない　もう一度　潜ろうか　　君はどうしてそんなに　キレイになったの　ずっと青いままでよかったのに…　　驚きマンゴー(驚きマンゴー)　青春は駆け足だ(キスしてみたいけど)　初めてマンゴー(大切に)　酸っぱい経験　その日までは(その日までは)　甘い香りに　誘われても　手を伸ばさないよ　　恋はいつでも　きっと　ストイックがいい　夢の中でずっとお預けのまま　　意外にマンゴー(意外にマンゴー)　ロマンスは早すぎる(まだまだ待たなきゃ)　保護してマンゴー(瑞々しい)　清純果実　いつの日にか(いつの日にか)　大人になったら　君のことが　好きだと言いたい,"Splash
青い海の中
Splash
僕は飛び込んだ
Splash
夏の日差しに
背中を灼き過ぎた
Splash
そばにいるだけで
Splash
意識してしまう
Splash
君の水着が
去年より小さくて…

恋はあれから急に
成長したのか
変な意味じゃなくてハッとしたんだ

意外にマンゴー(意外にマンゴー)
ロマンスは早すぎる(まだまだ待たなきゃ)
保護してマンゴー(瑞々しい)
清純果実
いつの日にか(いつの日にか)
大人になったら
君のことが
好きだと言いたい

Breeze
光る水面(みなも)から
Breeze
顔を出した時
Breeze
君が偶然
こっちを眺めてた
Breeze
ふいに目が合って
Breeze
微笑んでくれた
Breeze
なんか切ない
もう一度　潜ろうか

君はどうしてそんなに
キレイになったの
ずっと青いままでよかったのに…

驚きマンゴー(驚きマンゴー)
青春は駆け足だ(キスしてみたいけど)
初めてマンゴー(大切に)
酸っぱい経験
その日までは(その日までは)
甘い香りに
誘われても
手を伸ばさないよ

恋はいつでも　きっと
ストイックがいい
夢の中でずっとお預けのまま

意外にマンゴー(意外にマンゴー)
ロマンスは早すぎる(まだまだ待たなきゃ)
保護してマンゴー(瑞々しい)
清純果実
いつの日にか(いつの日にか)
大人になったら
君のことが
好きだと言いたい",https://www.uta-net.com/song/232712/
