song_id,title,lyricist,composer,arranger,release_year,release_title,release_type,members,center,formation_rows,opening_lyrics,full_lyrics,song_url
1,暗闇,秋元康,aokado,aokado,2024,懐かしい明日,other,元々;当初の名東県は;さらに;しかし;阿波国部分;現在の徳島県;なお;復活の際に;なぜ都市名,,"元々,当初の名東県は,さらに,しかし,阿波国部分,現在の徳島県,なお,復活の際に,なぜ都市名","太陽は水平線の彼方を目指して
R を描き　ただ落下する夕暮れに","太陽は水平線の彼方を目指して
R を描き　ただ落下する夕暮れに
何かをやり残してるような悔いはないのか？
僕はまだ帰りたくない

やりたいこと　やりたくないこと　やらされながら
理想と現実がごっちゃになっている日々
あの空とこの海がほら　分かれているように
交わらないものがあるってことさ

都会で暮らす
友は窓しか見ていないらしい
やるせない孤独の時
泣き言　誰に言えばいい？

夜よ　僕を詩人にするな
綺麗事では終わりたくない
生きることに傷つきうろたえて
無様でいたい
次の朝がやって来るまでに
今　持ってるものは捨てよう
丸裸になって気づくだろう
暗闇のその中で
目を凝らしてみれば
何かが見えて来る
星たちは自分が輝いているその位置と
宇宙の涯で誰かに見られてる自意識
どこかで消えて行った光を知っているのか？
僕は始まってもいない

欲しいものいらないものも見境つかなくて
手を伸ばしてしまう若さはいつも強欲だ
大人とはその分別があることと言うなら
永遠に大人になんかなるものか

故郷　捨てて
僕は絶対暮らせないだろう
水平線見えなければ
今いる場所がわからない

夜よ　僕に歌わせるなよ
想像だけの愛の世界は
都合のいい思いやりばかりで
説得力がない
どうせならばもっと生々しく
お互いの正体を明かそう
取り繕っていても虚しいよ
暗闇のその中で
聴こえて来るのは
希望の足音か
防波堤の上に立って
僕は叫んだ
波の音よりも大きく
自分へと届くように

夜よ　僕を詩人にするな
綺麗事では終わりたくない
生きることに傷つきうろたえて
無様でいたい
次の朝がやって来るまでに
今　持ってるものは捨てよう
丸裸になって気づくだろう
暗闇のその中で
目を凝らしてみれば
何かが見えて来る",https://www.uta-net.com/song/243419/
2,風を待つ,秋元康,大河原昇,若田部誠,2024,懐かしい明日,other,,,,"さっき見てた夢を思い出せない
すぐ消えてしまって切なくなるんだ","さっき見てた夢を思い出せない
すぐ消えてしまって切なくなるんだ

日差しのようにあの日に戻れればいいのに
瞼(まぶた)閉じても　ここに僕しかいないよ

風を待とう　この岬で
もう少しで春は来るはず
青い海に日差しが跳ねて
君を乗せた船が近づくよ
I can't stop loving you　愛は止まらない
離れ離れ　時間(とき)が過ぎても
I wanna see you again　ただ会いたくて
それが恋と気づいた　今さら

まるで帆を畳んだ　帆船(はんせん)のように
僕は何もできず凪(なぎ)の中にいた

やりたいことを見つけて都会へ行った
君は元気か　夢は見続けてるか？

風が吹くよ　入江を抜け
待ちわびてた春と一緒に
渡り鳥が帰って来たら
僕はやっと君に言えるんだ
I can't stop loving you　溢れる気持ち
どう話せば伝わるだろう
I wanna hold your hand　抱きしめたいよ
波のように切ない願いを…

ああ　やがて風が吹いて来るまで
Miss you　僕は桟橋に立って
君を待っていよう

風を待とう　この岬で
もう少しで春は来るはず
青い海に日差しが跳ねて
君を乗せた船が近づくよ
I can't stop loving you　愛は止まらない
離れ離れ　時間(とき)が過ぎても
I wanna see you again　ただ会いたくて
それが恋と気づいた　今さら",https://www.uta-net.com/song/262866/
3,大好きな人,秋元康,斉門,野中“まさ”雄一,2024,懐かしい明日,other,,,,"愛とは何なのか？　やっとわかった
君のためならば　我慢できるよ","愛とは何なのか？　やっとわかった
君のためならば　我慢できるよ

突然　サヨナラ　僕から告げたのは
どこか不安げな背中を押したくて…

大好きな人　しあわせになれ！
海に向かって大声で叫んだ
涙が止まらない

いつか君が話してくれた
夢の続き　気になっていた
キラキラしたあの眼差しを
この街出ても　ずっと忘れるな

そう　大好きだから　ここで見送ろう
どんな悲しみよりも　愛は強いんだ
WOW WOW
別れの理由(わけ)は説明つかない
いつか君が言ってた夢が叶う　それだけで
涙が報われる

ずっと思っていたより　もっと好きだった
君の泣き顔を見て　心が切なくて…
でも　大好きだから　無理に微笑(ほほえ)もう
どんな悲しみよりも　愛は強いんだ
WOW WOW
大好きな人　しあわせになれ！
僕は海に向かって大声で叫んだ
涙よ　ありがとう",https://www.uta-net.com/song/271626/
4,無謀な夢は覚めることがない,秋元康,ツキダタダシ,APAZZI,2024,懐かしい明日,other,,,,"君の目の前には無限が横たわる (WowWow)
銀河を飲み込んだ夜明け前の海","君の目の前には無限が横たわる (WowWow)
銀河を飲み込んだ夜明け前の海
どんな勇気出せば　渡れるのだろう？ (WowWow)
遥かな大陸よ　本当に存在するのか？

見えないものほど見たくなるんだ
(自分のこの目で確かめたいだけ)
誰かの受け売りじゃ意味なんかない
若さは向こう見ず

無謀な夢は　覚めることがない
瞼の裏　ずっと灼きついてる
叶うことない願いだからこそ
手を伸ばし続けられる
希望という名の　言い訳しながら
そんな低い星を見てどうする？
愚かな奴だと　笑われたって
行ったことない世界へ
Go ahead！

まだ流れていない涙に怯えるな (WowWow)
未来の悲しみは後で泣けばいい

残された時間を考え始めた時 (WowWow)
必死に目指していた　想像の島が消えて行く

遠くのものほど欲しくなるんだ
(自分の力を試したいんだろう)
近くのものなんかで妥協するなよ
いつかは気づくはず

無謀な旅で大人になりなよ
計画通りなんてあり得ないさ
トラブルだらけの遠回りだから
夕焼けが美しいんだ
楽をするなと今　言われたって
そんな説教聞きたくないだろう
もっと手堅い夢ならば
いつもと同じ景色だ
Stay up

容易(たやす)い道など選んだら負けだ
(根拠はなくても自信があればいい)
挫折も時には味わってみろ
人生は長い

無謀な夢は覚めることがない
瞼の裏　ずっと灼きついてる
叶うことない願いだからこそ
手を伸ばし続けられる

無謀な夢を後悔するな
傷ついた分だけ強くなるさ
孤独の道で誰かと出会って
たくさんの愛を知った
もし　もう一度　やり直したって
また同じ選択をするだろう
人は無謀な夢を見て
新しい世界を生きる
Go ahead！",https://www.uta-net.com/song/280842/
5,思い出せる恋をしよう,秋元康,木下めろん,野中“まさ”雄一,2024,懐かしい明日,other,,,,"どんなに歳月(とき)が過ぎ去っても
君の顔が浮かぶだろう","どんなに歳月(とき)が過ぎ去っても
君の顔が浮かぶだろう
違う空を見上げていたって
忘れないよ

遠くから眺めてるだけなら　失っても傷つかないけど
手に入れたらきっと怖くなるように…
臆病な自分の性格　君は泣きそうな顔しながら
前髪を下ろして　何を躊躇(ためら)うの？

僕は君が好きで　君は僕が好きなだけだ
その先のことなんか誰もわからない

いつの日にか　思い出せる
とっておきの恋をしよう
もし世界が終わったとしても
悔いのないように…
いつの日にか　また出会って
昔話できたらいい
そう　涙以上に微笑んでいたい　ずっと

指先を遠慮がちに繋ぎ　歩いたあの日を覚えてる
咲き始めたばかりの向日葵の道
幸せすぎちゃう時間は　あっという間に消えてしまうから
出来るだけゆっくり歩こうとしたっけ

上手くいってるのに　なぜか不安でいっぱいだ
初恋は誰もみな続かないらしい

何年か後に　どうなってるか
想像さえつかないけど
もし隣に君がいなくても
悲しまないように…
何年か後に振り返れば
今日のことを思い出すよ
もう　こんな出会いはきっとできないだろう

やっと夢が叶ったと思ったのに
これから先のこと考えたくなる
君と絶対離れたくない

いつの日にか　思い出せる
とっておきの恋をしよう
もし世界が終わったとしても
悔いのないように…
いつの日にか　また出会って
昔話できたらいい
そう　涙以上に微笑んでいたい　ずっと

優しく微笑む大切な君と
約束したいんだ
忘れはしない",https://www.uta-net.com/song/290164/
6,独り言で語るくらいなら,秋元康,大濱健悟,APAZZI,2024,懐かしい明日,other,,,,"いつもとは違う
反対のホームから","いつもとは違う
反対のホームから
ガラガラの電車に
衝動的に乗った

どこへ向かうのか
行き先は知らない
今日は人混みで
足を踏まれたくない

街は遠ざかり
窓の向こうには
田園が広がる

独り言で語るくらいならば
黙ったまま何かしよう
今の場所でどんな想像しても
見えるものに限りがある
心の中　答え探すだけじゃ
きっと　見つからないだろう
みんなが行くその目的地には
夢に気づく者はいない
ブツブツ呟(つぶや)いてたって
誰が耳を傾けるんだ？

終着駅には
僕以外いなかった
最初の反抗は
空気が清々しい

一人でいるのは
心細いけど
新しい世界だ

始めるのは語ってるだけより
意味あることだと思う
目を瞑って憶測で語るな
自分自身で確かめてみろ
頬に触れる風を感じながら
深呼吸をひとつする
現実に僕は立ち向かおう
その全てを受け入れて
しあわせとかふしあわせは
想像じゃ見分けつかない

次の電車は何時なのか
忘れものを思い出して
僕は何を今すべきか
ちゃんと街へ帰ろうって思う
もう誰も　もう何も
羨ましくなんかない
独り言ではなくて
大きな声で僕は叫ぶ

僕の夢はもっと近くにある
ここまで来て気づいたんだ

独り言で語るくらいならば
黙ったまま何かしよう
今の場所でどんな想像しても
見えるものに限りがある
心の中　答え探すだけじゃ
きっと　見つからないだろう
みんなが行くその目的地には
夢に気づく者はいない
ブツブツ呟(つぶや)いてたって
誰が耳を傾けるんだ？",https://www.uta-net.com/song/298092/
7,ヘタレたちよ,秋元康,A-NOTE;N-Sound,野中“まさ”雄一,2024,懐かしい明日,other,,,,"Wow...(Wow...)
さあ　ヘタレたちよ","Wow...(Wow...)
さあ　ヘタレたちよ
頑張れ！

「期待されてないって、すっごく楽なんだよね。
あいつにはできるわけないって　みんな思ってるからさ。
確かにこういうの、向いてないし、
一生懸命やらなくていい？」

“頑張れ”って言葉　これ以上言いたくない
だって君は充分　頑張っていること知っているから
そこそこでいいんじゃない？　向きになることない
辛くなってしまったら歩けばいいし
休んだって問題ない

人は誰だって
だらしない生き物
だけど変わってみたくなる
そう　これをきっかけに

「行け～！」

ああ　ヘタレたちよ
ここらでいっちょ走ってみないか？
さあ　一度くらい
何がなんだかわからないまま本気出せ！
10秒だけやってみるか
何年かぶりに全力で
最高　最高　最高　最高　気持ちいい
自分に「せ～の」頑張れ！

「必死なのってさ　なんかカッコ悪くない？
ちゃんとやってる人って　尊敬するけどさ
そういう人って、疲れないのかなあ。
やるよ、僕も、適当に…」

力の入れ具合　誰もそれぞれだろう？
汗をいっぱいかいてる奴とか　肩で息つく奴とか
努力が見える方が評価されやすいけど
ただ黙々と自分なりのペースで
突き進む奴もいるってことさ

歩幅が違えば
スピードも違う
順位は競わないよ
ただ　ゴールを目指そう

「進め～！」

ああ　落ちこぼれよ
無関心のまま生きててもいいけど
そう　本当は
昔はかなり早く走っていたんだろう
それをやる意味は何もない
白けてるだけじゃ逃げられない
それでも　それでも　それでも　それでも　腰を上げて
「せ～の」頑張れ

褒めてもらえない
僕らの人生
そんなのどうでもいい
さあ　やるかやらないか

「行くぞ～」

ああ　ヘタレたちよ
ここらでいっちょ走ってみないか？
さあ　一度くらい
何がなんだかわからないまま本気出せ！
10秒だけやってみるか
何年かぶりに全力で
最高　最高　最高　最高　気持ちいい
自分に「せ～の」頑張れ！

「僕はずっとヘタレだって言われて来た。自分もヘタレだって思って来た。
ここで一回ぐらい頑張ったって、それは変わらないけど、
なんかちょっとやってみようかな
ヘタレだってやる時はやるよ」",https://www.uta-net.com/song/309338/
8,花は誰のもの？,秋元康,鶴久政治,Hiroya.T,2024,懐かしい明日,other,,,,"もしこの世界から　国境が消えたら
争うことなんかなくなるのに…","もしこの世界から　国境が消えたら
争うことなんかなくなるのに…

ラララ…
ラララ…

荒地にポツンと咲いてるその花　誰のものか？なんて
誰かと誰かが　自分のものだとお互いに言い張った

どこから眺めていたって　美しい花は変わらず　美しい
奪おうとすれば　愛はやがて踏み躙(にじ)られる

もしこの世界から　国境が消えたら
人はみんな　きっと　しあわせなのに…
どうして何のため　線を引くのだろう
そう　たった一つの地球の上

ラララ…

生まれた大地がどこであろうとも　陽は沈みまた昇る
希望はいつでも　僕らの頭上に平等に降り注ぐ

日向も日陰も儚(はかな)く　誰のものか決められないだろう
笑顔も涙も独り占めなんかできないよ

もしこの世界から　国境が消えたら
たぶん困る人がいるんだろうな
この線のここから入って来るなよと
勝手に旗を立て　孤立するだけ

数え切れないくらいの花が一面に咲いていれば
みんなの足下(あしもと)がどこなんて気づかない
しあわせを分けてあげよう

もしこの世界から　国境が消えたら
人はみんな　きっと　しあわせなのに…
どうして何のため　線を引くのだろう
そう　たった一つの地球の上

もしこの世界から　国境が消えたら
争うことなんかなくなるのに…
見えない線ばかり　勝手に引いたって
僕たちは自由を諦めない

美しいその花　ずっと守りたいよ

ラララ…
ラララ…",https://www.uta-net.com/song/317236/
9,息をする心,秋元康,三谷秀甫,APAZZI,2024,懐かしい明日,other,,,,"真夜中は僕だけの時間だ
もう誰も眠ってしまうがいい","真夜中は僕だけの時間だ
もう誰も眠ってしまうがいい
本当の自分でいられて
息ができる
太陽が昇った大地には
光と影ができてしまって
その境目に立たされた時に
息が止まる

ああ　夢の中なら
自由に
振る舞えるのに…

友達と上手にやらなくちゃ
そうもっと楽しそうに生きなきゃ
そんな意識は
捨てたい

君と巡り逢って
僕は楽になった
普通に息を吸って
普通に吐いている
君を好きになって
肩の力が抜けた
僕は僕のままで
変わらなくていいんだ

好きだ　好きだ
声に出してみる
君が　君が
好きだ

星空をずっと眺めてると
そう眠るタイミングを失う
目を閉じるのがもったいなくて
息ができない
きっと世の中にはたくさんの
見るべきものが存在していて
僕はもっと外に目を向けて
息をしよう

ああ　明日になれば
もう一度
生まれ変われる

昨日までの自分のことなんて
もう忘れてしまっていいんだ
息の仕方
変えよう

君に教えられた
新しい世界よ
思っていたよりも
人生は楽しい
君に気づかされた
孤独ではないこと
そう僕が勝手に
背中向けてただけ

好きだ

生きることは　呼吸すること
急がないで　ゆっくりでいい
他の人と比べないで
吸って吐いて　自分のペースで

誰か好きになると
知らぬ間に微笑む
思い浮かべる度
幸せな気持ちに…

君と巡り逢って
僕は楽になった
普通に息を吸って
普通に吐いている
君を好きになって
肩の力が抜けた
僕は僕のままで
変わらなくていいんだ

好きだ　好きだ
声に出してみる
君が　君が
好きだ",https://www.uta-net.com/song/334259/
10,君は何を後悔するのか？,秋元康,鶴久政治,Hiroya.T,2024,懐かしい明日,other,,,,"なんて美しい　黄昏の海よ
砂浜に佇む自分が辛くなる","なんて美しい　黄昏の海よ
砂浜に佇む自分が辛くなる

大人になれなくて　心が縮んでく
頷いたことまで受け入れられないんだ

目を合わさず生きて行く術(すべ)を
手に入れてしまったズルさのせい
素直になれば間に合うのかな

君は何を後悔するのか？
今来た道　何度も振り向いて
思い悩み出した答え
なぜ今でも引っ掛かる
あの判断　あれでよかったのか
誰もみんな　人生　後悔だらけ

何を引き換えにして　自由を手に入れた？
夢を見なくなった自分が好きじゃない

感情なんて忘れてしまった
全てが人事(ひとごと)に見えて来る
本気になっちゃ損をするだけ

君はどんな後悔しそうなの？
今からでもやり直せるだろう？
たとえ何度失敗しても
そうさ誰も気づいてない
過去は過去だ　変えられやしない
今度こそは　絶対　後悔するな

ああ　陽がまた　昇って来るみたいに
過ぎ去った　暗闇なんか
消えてしまえ

僕はきっと後悔しない
やりたいことをやっているから

君は何を後悔するのか？
今来た道　何度も振り向いて
思い悩み出した答え
なぜ今でも引っ掛かる
あの判断　あれでよかったのか
誰もみんな　人生　後悔だらけ",https://www.uta-net.com/song/346261/
