song_id,credit_role,creator_name
1,lyricist,秋元康
1,composer,黒須克彦
1,arranger,湯浅篤
2,lyricist,秋元康
2,composer,小田切大
2,arranger,TATOO
3,lyricist,秋元康
3,composer,Shusui
3,composer,伊藤涼
3,composer,木村篤史
3,composer,ヒロイズム
3,arranger,湯浅篤
4,lyricist,秋元康
4,composer,杉山勝彦
4,arranger,百石元
5,lyricist,秋元康
5,composer,杉山勝彦
5,arranger,有木竜郎
5,arranger,杉山勝彦
6,lyricist,秋元康
6,composer,後藤康二
6,arranger,後藤康二
7,lyricist,秋元康
7,composer,サイトウヨシヒロ
7,arranger,若田部誠
8,lyricist,秋元康
8,composer,Akira Sunset
8,arranger,湯浅篤
9,lyricist,秋元康
9,composer,井上トモノリ
9,arranger,橋本幸太
10,lyricist,秋元康
10,composer,川浦正大
10,arranger,百石元
11,lyricist,秋元康
11,composer,宮坂聡彦
11,arranger,佐々木裕
12,lyricist,秋元康
12,composer,伊勢佳史
12,arranger,伊勢佳史
13,lyricist,秋元康
13,composer,杉山勝彦
13,arranger,有木竜郎
13,arranger,杉山勝彦
14,lyricist,秋元康
14,composer,Hiroki Sagawa
14,arranger,Hiroki Sagawa
15,lyricist,秋元康
15,composer,黒須克彦
15,arranger,長田直之
16,lyricist,秋元康
16,composer,Akira Sunset
16,composer,APAZZI
16,arranger,Akira Sunset
16,arranger,APAZZI
17,lyricist,秋元康
17,composer,Akira Sunset
17,composer,APAZZI
17,arranger,Akira Sunset
17,arranger,APAZZI
18,lyricist,秋元康
18,composer,杉山勝彦
18,arranger,有木竜郎
18,arranger,杉山勝彦
19,lyricist,秋元康
19,composer,フジノタカフミ
19,arranger,フジノタカフミ
20,lyricist,秋元康
20,composer,渡辺未来
20,arranger,渡辺未来
21,lyricist,秋元康
21,composer,近藤圭一
21,arranger,久下真音
22,lyricist,秋元康
22,composer,DR QUEENBEE
22,arranger,DR QUEENBEE
23,lyricist,秋元康
23,composer,Akira Sunset
23,arranger,Akira Sunset
24,lyricist,秋元康
24,composer,SoichiroK
24,composer,Nozomu.S
24,arranger,Nozomu.S
24,arranger,SoichiroK
25,lyricist,秋元康
25,composer,Akira Sunset
25,composer,Carlos K.
25,arranger,Akira Sunset
25,arranger,Carlos K.
26,lyricist,秋元康
26,composer,FURUTA
26,composer,Yasutaka.Ishio
26,arranger,重永亮介
27,lyricist,秋元康
27,composer,杉山勝彦
27,arranger,有木竜郎
27,arranger,杉山勝彦
28,lyricist,秋元康
28,composer,井手コウジ
28,arranger,井手コウジ
29,lyricist,秋元康
29,composer,福森秀敏
29,arranger,APAZZI
30,lyricist,秋元康
30,composer,杉山勝彦
30,arranger,若田部誠
31,lyricist,秋元康
31,composer,すみだしんや
31,arranger,APAZZI
32,lyricist,秋元康
32,composer,ツキダタダシ
32,arranger,ツキダタダシ
33,lyricist,秋元康
33,composer,Hiro Hoashi
33,arranger,Hiro Hoashi
34,lyricist,秋元康
34,composer,泉佳伸
34,composer,三好翔太
34,arranger,早川博隆
34,arranger,三好翔太
35,lyricist,秋元康
35,composer,菅井達司
35,arranger,菅井達司
36,lyricist,秋元康
36,composer,丸谷マナブ
36,arranger,丸谷マナブ
37,lyricist,秋元康
37,composer,Masayoshi Kawabata
37,arranger,Masayoshi Kawabata
38,lyricist,秋元康
38,composer,早川博隆
38,arranger,早川博隆
39,lyricist,秋元康
39,composer,Akira Sunset
39,composer,APAZZI
39,arranger,Akira Sunset
39,arranger,APAZZI
40,lyricist,秋元康
40,composer,大橋莉子
40,arranger,佐々木裕
41,lyricist,秋元康
41,composer,小網準
41,arranger,野中“まさ”雄一
42,lyricist,秋元康
42,composer,小内喜文
42,arranger,佐々木裕
43,lyricist,秋元康
43,composer,Akira Sunset
43,arranger,シライシ紗トリ
44,lyricist,秋元康
44,composer,内田智之
44,arranger,TATOO
45,lyricist,秋元康
45,composer,フジノタカフミ
45,arranger,湯浅篤
46,lyricist,秋元康
46,composer,網本ナオノブ
46,arranger,湯浅篤
47,lyricist,秋元康
47,composer,角野寿和
47,arranger,野村陽一郎
48,lyricist,秋元康
48,composer,Hiroki Sagawa from Asiatic Orchestra
48,arranger,Hiroki Sagawa
49,lyricist,秋元康
49,composer,田中俊亮
49,arranger,鈴木裕明
50,lyricist,秋元康
50,composer,長谷川湊
50,arranger,Carlos K.
51,lyricist,秋元康
51,composer,三輪智也
51,arranger,京田誠一
52,lyricist,秋元康
52,composer,Akira Sunset
52,composer,ha-j
52,arranger,Akira Sunset
52,arranger,ha-j
53,lyricist,秋元康
53,composer,Akira Sunset
53,composer,ha-j
53,arranger,Akira Sunset
53,arranger,ha-j
54,lyricist,秋元康
54,composer,丸山真由子
54,arranger,丸山真由子
55,lyricist,秋元康
55,composer,福田貴史
55,arranger,福田貴史
56,lyricist,秋元康
56,composer,白土亨
56,arranger,遠藤ナオキ
57,lyricist,秋元康
57,composer,藤田卓也
57,arranger,藤田卓也
58,lyricist,秋元康
58,composer,山田智和
58,arranger,住谷翔平
59,lyricist,秋元康
59,composer,中山聡
59,composer,足立優
59,arranger,野中“まさ”雄一
60,lyricist,秋元康
60,composer,ツキダタダシ
60,arranger,ツキダタダシ
61,lyricist,秋元康
61,composer,HRK
61,arranger,APAZZI
62,lyricist,秋元康
62,composer,岩崎哲也
62,arranger,関根佑樹
63,lyricist,秋元康
63,composer,杉山勝彦
63,arranger,野中“まさ”雄一
64,lyricist,秋元康
64,composer,谷村庸平
64,arranger,谷村庸平
65,lyricist,秋元康
65,composer,Akira Sunset
65,composer,京田誠一
65,arranger,Akira Sunset
65,arranger,京田誠一
66,lyricist,秋元康
66,composer,シライシ紗トリ
66,arranger,シライシ紗トリ
67,lyricist,秋元康
67,composer,ナスカ
67,arranger,野中“まさ”雄一
68,lyricist,秋元康
68,composer,渡邉俊彦
68,arranger,早川博隆
68,arranger,渡邉俊彦
69,lyricist,秋元康
69,composer,古川貴浩
69,arranger,古川貴浩
70,lyricist,秋元康
70,composer,Hiroki Sagawa
70,composer,Yasutaka.Ishio
70,arranger,Yasutaka.Ishio
71,lyricist,秋元康
71,composer,野口大志
71,arranger,Akira Sunset
71,arranger,野口大志
72,lyricist,秋元康
72,composer,渡辺剛
72,arranger,渡辺剛
73,lyricist,秋元康
73,composer,CottON
73,arranger,CottON
74,lyricist,秋元康
74,composer,SaSA
74,arranger,SaSA
75,lyricist,秋元康
75,composer,ツキダタダシ
75,arranger,ツキダタダシ
76,lyricist,秋元康
76,composer,Ryota Saito
76,composer,TETTA
76,arranger,野中“まさ”雄一
77,lyricist,秋元康
77,composer,山田裕介
77,arranger,APAZZI
78,lyricist,秋元康
78,composer,MASANORI URA
78,arranger,武藤星児
79,lyricist,秋元康
79,composer,杉山勝彦
79,arranger,石原剛志
79,arranger,杉山勝彦
80,lyricist,秋元康
80,composer,杉山勝彦
80,composer,APAZZI
80,arranger,APAZZI
81,lyricist,秋元康
81,composer,youth case
81,arranger,石塚知生
82,lyricist,秋元康
82,composer,杉山勝彦
82,arranger,杉山勝彦
82,arranger,谷地学
83,lyricist,秋元康
83,composer,NAMITO
83,arranger,APAZZI
84,lyricist,秋元康
84,composer,野村陽一郎
84,arranger,野村陽一郎
85,lyricist,秋元康
85,composer,ナスカ
85,arranger,the Third
86,lyricist,秋元康
86,composer,松尾一真
86,arranger,APAZZI
87,lyricist,秋元康
87,composer,Akira Sunset
87,composer,丸谷マナブ
87,composer,ha-j
87,composer,遠藤ナオキ
87,arranger,APAZZI
88,lyricist,秋元康
88,composer,杉山勝彦
88,arranger,杉山勝彦
88,arranger,谷地学
88,arranger,尾上榛
89,lyricist,秋元康
